Participant,"Accession(a), Succession(d)"
Bahamas,10 Jun 1976 d
Belarus,21 May 1948 a
Cyprus,16 May 1963 d
Czech Republic,30 Dec 1993 d
Fiji,12 Jun 1972 d
Ghana,7 Apr 1958 d
Jamaica,30 Jul 1964 d
Malta,24 Mar 1967 d
Mauritius,18 Jul 1969 d
Pakistan,12 Nov 1947 d
Russian Federation,18 Dec 1947 a
Sierra Leone,13 Mar 1962 d
Singapore,7 Jun 1966 d
Slovakia,28 May 1993 d
The former Yugoslav Republic of Macedonia,18 Jan 1994 d
Trinidad and Tobago,11 Apr 1966 d
Zambia,26 Mar 1973 d
Zimbabwe,1 Dec 1998 d
