Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Albania,,2 Aug 2006 a
Andorra,21 Jun 2004,11 Feb 2005
Argentina,7 Oct 2002,1 Feb 2007
Austria,10 Sep 2002,17 Dec 2003
Bahamas,30 Jun 2004,
Belgium,11 Sep 2002,28 Mar 2005
Belize,26 Sep 2003,14 Sep 2005
Benin,10 Sep 2002,24 Jan 2006
Bolivia (Plurinational State of),23 Mar 2004,20 Jan 2006
Bosnia and Herzegovina,,24 Jan 2012 a
Botswana,,13 Nov 2008 a
Brazil,17 May 2004,12 Dec 2011
Bulgaria,2 May 2003,28 Jul 2006
Burkina Faso,7 May 2004,10 Oct 2005
Canada,30 Apr 2004,22 Jun 2004
Central African Republic,,6 Oct 2006 a
Chile,,26 Sep 2011 a
Colombia,18 Dec 2003,15 Apr 2009
Costa Rica,16 Sep 2002,28 Apr 2011
Croatia,23 Sep 2003,17 Dec 2004
Cyprus,10 Jun 2003,18 Aug 2005
Czech Republic,,4 May 2011 a
Democratic Republic of the Congo,,3 Jul 2007 a
Denmark,13 Sep 2002,3 Jun 2005
Dominican Republic,,10 Sep 2009 a
Ecuador,26 Sep 2002,19 Apr 2006
Estonia,27 Jun 2003,13 Sep 2004
Finland,10 Sep 2002,8 Dec 2004 A
France,10 Sep 2002,17 Feb 2004 AA
Gabon,,22 Sep 2010 a
Georgia,,10 Mar 2010 a
Germany,14 Jul 2003,2 Sep 2004
Ghana,12 Sep 2003,
Greece,25 Sep 2003,6 Jul 2007
Guinea,1 Apr 2004,
Guyana,,16 Nov 2005 a
Honduras,,1 Apr 2008 a
Hungary,10 Sep 2002,22 Mar 2006
Iceland,10 Sep 2002,1 Dec 2003
Ireland,9 Sep 2003,20 Nov 2006
Italy,10 Sep 2002,20 Nov 2006
Jamaica,30 Jun 2004,
Jordan,28 Jun 2004,
Latvia,29 Jun 2004,23 Dec 2004
Lesotho,,16 Sep 2005 a
Liberia,,16 Sep 2005 a
Liechtenstein,,21 Sep 2004 a
Lithuania,25 May 2004,30 Dec 2004
Luxembourg,10 Sep 2002,20 Jan 2006
Madagascar,12 Sep 2002,
Malawi,,7 Oct 2009 a
Mali,20 Sep 2002,8 Jul 2004
Malta,,21 Sep 2011 a
Mexico,,26 Sep 2007 a
Mongolia,4 Feb 2003,
Montenegro,,23 Oct 2006 d
Namibia,10 Sep 2002,29 Jan 2004
Netherlands,11 Sep 2003,24 Jul 2008 A
New Zealand,22 Oct 2002,14 Apr 2004
Norway,10 Sep 2002,10 Sep 2002
Panama,14 Apr 2003,16 Aug 2004
Paraguay,11 Feb 2004,19 Jul 2005
Peru,10 Sep 2002,
Poland,30 Jun 2004,10 Feb 2009
Portugal,10 Dec 2002,3 Oct 2007
Republic of Korea,28 Jun 2004,18 Oct 2006
Romania,30 Jun 2004,17 Nov 2005
Senegal,19 Sep 2002,
Serbia,18 Jul 2003,7 May 2004
Sierra Leone,26 Sep 2003,
Slovakia,19 Dec 2003,26 May 2004
Slovenia,25 Sep 2003,23 Sep 2004
Spain,21 Apr 2003,24 Sep 2009
Sweden,19 Feb 2004,13 Jan 2005
Switzerland,10 Sep 2002,25 Sep 2012
The former Yugoslav Republic of Macedonia,,19 Oct 2005 a
Trinidad and Tobago,10 Sep 2002,6 Feb 2003
Tunisia,,29 Jun 2011 a
Uganda,7 Apr 2004,21 Jan 2009
Ukraine,,29 Jan 2007 a
United Kingdom of Great Britain and Northern Ireland,10 Sep 2002,25 Jan 2008
United Republic of Tanzania,27 Jan 2004,
Uruguay,30 Jun 2004,3 Nov 2006
Venezuela (Bolivarian Republic of),16 Jul 2003,
