Participant,"Accession(a), Succession(d)"
Albania,15 Dec 2003 a
Algeria,25 Mar 1964 a
Angola,9 May 2012 a
Antigua and Barbuda,14 Dec 1988 d
Argentina,10 Oct 1963 a
Australia,9 May 1986 a
Austria,21 Jul 1950 a
Bahamas,17 Mar 1977 d
Bahrain,17 Sep 1992 a
Barbados,19 Nov 1971 a
Belarus,18 Mar 1966 a
Belgium,14 Mar 1962 a
Bosnia and Herzegovina,1 Sep 1993 d
Botswana,5 Apr 1983 a
Brazil,22 Mar 1963 a
Bulgaria,13 Jun 1968 a
Burkina Faso,6 Apr 1962 a
Cambodia,15 Oct 1953 a
Cameroon,30 Apr 1992 a
Central African Republic,15 Oct 1962 a
Chile,21 Sep 1951 a
China,11 Sep 1979 a
Cote d'Ivoire,8 Sep 1961 a
Croatia,12 Oct 1992 d
Cuba,13 Sep 1972 a
Cyprus,6 May 1964 d
Czech Republic,22 Feb 1993 d
Democratic Republic of the Congo,8 Dec 1964 a
Denmark,25 Jan 1950 a
Dominica,24 Jun 1988 a
Ecuador,8 Jun 1951 a
Egypt,28 Sep 1954 a
Estonia,8 Oct 1997 a
Fiji,21 Jun 1971 d
Finland,31 Jul 1958 a
France,2 Aug 2000 a
Gabon,29 Jun 1961 a
Gambia,1 Aug 1966 d
Georgia,18 Jul 2007 a
Germany,10 Oct 1957 a
Ghana,9 Sep 1958 a
Greece,21 Jun 1977 a
Guatemala,30 Jun 1951 a
Guinea,1 Jul 1959 a
Guyana,13 Sep 1973 a
Haiti,16 Apr 1952 a
Honduras,16 Aug 2012 a
Hungary,2 Aug 1967 a
Iceland,17 Jan 2006 a
India,10 Feb 1949 a
Indonesia,8 Mar 1972 a
Iran (Islamic Republic of),16 May 1974 a
Iraq,9 Jul 1954 a
Ireland,10 May 1967 a
Italy,30 Aug 1985 a
Jamaica,4 Nov 1963 a
Japan,18 Apr 1963 a
Jordan,12 Dec 1950 a
Kenya,1 Jul 1965 a
Kuwait,13 Nov 1961 a
Lao People's Democratic Republic,9 Aug 1960 a
Latvia,19 Dec 2005 a
Lesotho,26 Nov 1969 a
Libya,30 Apr 1958 a
Lithuania,10 Feb 1997 a
Luxembourg,20 Sep 1950 a
Madagascar,3 Jan 1966 a
Malawi,2 Aug 1965 a
Malaysia,29 Mar 1962 d
Maldives,26 May 1969 a
Mali,24 Jun 1968 a
Malta,27 Jun 1968 d
Mauritius,18 Jul 1969 d
Mongolia,3 Mar 1970 a
Montenegro,23 Oct 2006 d
Morocco,28 Apr 1958 a
Mozambique,6 Oct 2011 a
Nepal,23 Feb 1954 a
Netherlands,2 Dec 1948 a
New Zealand,25 Nov 1960 a
Nicaragua,6 Apr 1959 a
Niger,15 May 1968 a
Nigeria,26 Jun 1961 d
Norway,25 Jan 1950 a
Pakistan,23 Jul 1951 a
Paraguay,13 Jan 2006 a
Philippines,20 Mar 1950 a
Poland,19 Jun 1969 a
Portugal,8 Nov 2012 a
Republic of Korea,13 May 1977 a
Republic of Moldova,2 Sep 2011 a
Romania,15 Sep 1970 a
Russian Federation,10 Jan 1966 a
Rwanda,15 Apr 1964 a
San Marino,21 Feb 2013 a
Senegal,2 Mar 1966 a
Serbia,12 Mar 2001 d
Seychelles,24 Jul 1985 a
Sierra Leone,13 Mar 1962 d
Singapore,18 Mar 1966 d
Slovakia,28 May 1993 d
Slovenia,6 Jul 1992 d
South Africa,30 Aug 2002 a
Spain,26 Sep 1974 a
St. Lucia,2 Sep 1986 a
Sweden,12 Sep 1951 a
Switzerland,25 Sep 2012 a
Thailand,30 Mar 1956 a
The former Yugoslav Republic of Macedonia,11 Mar 1996 d
Togo,15 Jul 1960 a
Tonga,17 Mar 1976 d
Trinidad and Tobago,19 Oct 1965 a
Tunisia,3 Dec 1957 a
Uganda,11 Aug 1983 a
Ukraine,13 Apr 1966 a
United Arab Emirates,11 Dec 2003 a
United Kingdom of Great Britain and Northern Ireland,16 Aug 1949 a
United Republic of Tanzania,29 Oct 1962 a
Uruguay,29 Dec 1977 a
Uzbekistan,18 Feb 1997 a
Vanuatu,2 Jan 2008 a
Zambia,16 Jun 1975 d
Zimbabwe,5 Mar 1991 a
