Participant,Signature,"Ratification, Accession(a)"
Brazil,,30 Mar 1981 a
India,21 Apr 1971,29 Mar 1972
Indonesia,21 Apr 1971,1 Nov 1971
Malaysia,21 Apr 1971,22 Mar 1972
Sri Lanka,,27 Jul 2002 a
Viet Nam,,21 Mar 2005 a
