Participant,Signature,"Ratification, Accession(a), Succession(d)"
Algeria,,31 Oct 1963 a
Austria,18 May 1956,13 Nov 1957
Belgium,18 May 1956,18 Feb 1963
Croatia,,31 Aug 1994 d
Denmark,,8 Jan 1959 a
Finland,,30 Sep 1965 a
France,18 May 1956,20 May 1959
Germany,18 May 1956,23 Oct 1961
Hungary,18 May 1956,23 Jul 1957
Italy,18 May 1956,29 Mar 1962
Jamaica,,11 Nov 1963 d
Luxembourg,18 May 1956,13 Oct 1964
Malta,,3 May 1966 d
Mauritius,,18 Jul 1969 d
Montenegro,,23 Oct 2006 d
Netherlands,18 May 1956,27 Jul 1960
Portugal,,16 Feb 1965 a
Serbia,,12 Mar 2001 d
Sierra Leone,,13 Mar 1962 d
Slovenia,,3 Nov 1992 d
Solomon Islands,,3 Sep 1981 d
Spain,,2 Oct 1958 a
Sweden,18 May 1956,16 Jan 1958
Switzerland,18 May 1956,7 Jul 1960
Trinidad and Tobago,,11 Apr 1966 d
United Kingdom of Great Britain and Northern Ireland,18 May 1956,3 Oct 1958
