Participant,"Signature, Succession to signature(d)","Ratification, Accession(a), Succession(d)"
Angola,23 Aug 1978,
Bosnia and Herzegovina,,22 Jul 1993 d
Brazil,23 Aug 1978,
Chile,23 Aug 1978,
Cte d'Ivoire,23 Aug 1978,
Croatia,,22 Oct 1992 d
Cyprus,,12 Mar 2004 a
Czech Republic,22 Feb 1993 d,26 Jul 1999
Democratic Republic of the Congo,23 Aug 1978,
Dominica,,24 Jun 1988 a
Ecuador,,25 Jul 2006 a
Egypt,,17 Jul 1986 a
Estonia,,21 Oct 1991 a
Ethiopia,23 Aug 1978,28 May 1980
Holy See,23 Aug 1978,
Iraq,23 May 1979,5 Dec 1979
Liberia,,16 Sep 2005 a
Madagascar,23 Aug 1978,
Montenegro,,23 Oct 2006 d
Morocco,,31 Mar 1983 a
Niger,23 Aug 1978,
Pakistan,10 Jan 1979,
Paraguay,31 Aug 1979,
Peru,30 Aug 1978,
Poland,16 Aug 1979,
Republic of Moldova,,9 Feb 2009 a
Senegal,23 Aug 1978,
Serbia,,12 Mar 2001 d
Seychelles,,22 Feb 1980 a
Slovakia,28 May 1993 d,24 Apr 1995
Slovenia,,6 Jul 1992 d
St. Vincent and the Grenadines,,27 Apr 1999 a
Sudan,23 Aug 1978,
The former Yugoslav Republic of Macedonia,,7 Oct 1996 d
Tunisia,,16 Sep 1981 a
Ukraine,,26 Oct 1992 a
Uruguay,23 Aug 1978,
