Participant,Signature,"Ratification, Accession(a), Acceptance(A), Approval(AA), Succession(d)"
Albania,,28 Dec 2004 a
Armenia,,8 Dec 1993 a
Austria,,22 Jul 1987 a
Azerbaijan,,8 May 2000 a
Belarus,,5 Apr 1993 a
Belgium,31 Jan 1984,12 Jun 1987
Bosnia and Herzegovina,,1 Sep 1993 d
Bulgaria,,27 Feb 1998 a
Croatia,,20 May 1994 d
Cuba,,15 Apr 1992 a
Cyprus,,1 Jul 2002 a
Czech Republic,,30 Sep 1993 d
Denmark,1 Feb 1984,12 Jun 1987
Estonia,,4 Mar 1996 a
European Union,1 Feb 1984,12 Jun 1987
Finland,,8 Aug 1985 a
France,1 Feb 1984,12 Jun 1987
Georgia,,2 Jun 1999 a
Germany,1 Feb 1984,12 Jun 1987
Greece,1 Feb 1984,12 Jun 1987
Hungary,21 Dec 1983,26 Jan 1984 AA
Iran (Islamic Republic of),,18 May 2010 a
Ireland,1 Feb 1984,12 Jun 1987
Italy,1 Feb 1984,12 Jun 1987
Jordan,,13 Nov 2008 a
Kazakhstan,,25 Jan 2005 a
Kyrgyzstan,,2 Apr 1998 a
Lao People's Democratic Republic,,29 Sep 2008 a
Latvia,,18 Dec 2003 a
Lesotho,,30 Mar 1988 a
Liberia,,16 Sep 2005 a
Lithuania,,7 Dec 1995 a
Luxembourg,1 Feb 1984,12 Jun 1987
Mongolia,,2 Nov 2007 a
Montenegro,,23 Oct 2006 d
Morocco,,25 Sep 2012 a
Netherlands,1 Feb 1984,12 Jun 1987 A
Norway,,10 Jul 1985 a
Poland,,6 Dec 1996 a
Portugal,,10 Nov 1987 a
Republic of Moldova,,3 Dec 2008 a
Romania,,10 Nov 2000 a
Russian Federation,,28 Jan 1986 a
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
South Africa,,24 Feb 1987 a
Spain,,2 Jul 1984 a
Sweden,,15 Jul 1985 a
Switzerland,25 Jan 1984,21 Jan 1986
Tajikistan,,28 Dec 2011 a
The former Yugoslav Republic of Macedonia,,20 Dec 1999 d
Tunisia,,11 Mar 2009 a
Turkey,,21 Mar 2006 a
Ukraine,,12 Sep 2003 a
United Kingdom of Great Britain and Northern Ireland,1 Feb 1984,12 Jun 1987
Uzbekistan,,27 Nov 1996 a
