Participant,Acceptance(A)
Argentina,26 May 1981 A
Australia,10 Jun 1980 A
Austria,6 Apr 1983 A
Bahamas,1 Mar 1979 A
Bahrain,25 Apr 1980 A
Bangladesh,8 Oct 1979 A
Barbados,20 Aug 1979 A
Brazil,20 Mar 1979 A
Bulgaria,4 Mar 1980 A
Canada,19 Nov 1979 A
Cape Verde,23 Apr 1980 A
Chile,13 Feb 1979 A
China,30 Oct 1979 A
Côte d'Ivoire,4 Nov 1981 A
Cuba,26 Oct 1982 A
Cyprus,10 Jul 1979 A
Denmark,2 Jan 1979 A
Djibouti,20 Feb 1979 A
Dominica,18 Dec 1979 A
Dominican Republic,10 Nov 1983 A
Egypt,17 Nov 1980 A
El Salvador,12 Feb 1981 A
Ethiopia,11 Apr 1979 A
Finland,19 Nov 1979 A
Gabon,27 Feb 1979 A
Gambia,11 Jan 1979 A
Germany,2 Apr 1979 A
Ghana,5 Feb 1980 A
Greece,28 Jul 1981 A
Guyana,13 May 1980 A
Hungary,31 Mar 1980 A
Iceland,28 Jul 1980 A
India,22 Jan 1979 A
Indonesia,29 Jul 1983 A
Iraq,5 Sep 1979 A
Ireland,27 Oct 1981 A
Israel,31 Dec 1979 A
Italy,13 Jun 1983 A
Jamaica,9 Apr 1979 A
Kuwait,27 Nov 1979 A
Liberia,14 Dec 1979 A
Malaysia,28 Sep 1981 A
Maldives,25 Feb 1980 A
Malta,23 Apr 1979 A
Mexico,23 Mar 1983 A
Morocco,25 Jul 1980 A
Mozambique,10 Nov 1983 A
Nepal,31 Jan 1979 A
Netherlands,29 Jun 1981 A
New Zealand,9 Mar 1979 A
Nicaragua,17 Mar 1982 A
Norway,5 Sep 1978 A
Oman,22 May 1981 A
Pakistan,23 Jan 1981 A
Panama,23 Dec 1980 A
Peru,21 Jan 1980 A
Philippines,17 Nov 1981 A
Poland,2 Jan 1980 A
Portugal,22 Dec 1982 A
Republic of Korea,31 May 1979 A
Romania,14 Sep 1982 A
Russian Federation,2 Jul 1979 A
Saudi Arabia,1 Aug 1979 A
Seychelles,7 Jul 1982 A
Singapore,15 Jun 1979 A
Spain,14 Apr 1981 A
Sri Lanka,16 Jan 1980 A
St. Lucia,10 Apr 1980 A
St. Vincent and the Grenadines,29 Apr 1981 A
Suriname,11 Apr 1979 A
Sweden,5 Jan 1979 A
Switzerland,22 May 1981 A
Thailand,20 Feb 1981 A
Togo,20 Jun 1983 A
Trinidad and Tobago,22 Aug 1984 A
Tunisia,1 Aug 1979 A
United Arab Emirates,2 Nov 1981 A
United Kingdom of Great Britain and Northern Ireland,22 Feb 1980 A
United Republic of Tanzania,23 Apr 1979 A
United States of America,28 Aug 1980 A
Uruguay,17 Dec 1980 A
Yemen,14 Mar 1979 A
