Participant,Signature,"Ratification, Accession(a), Succession(d)"
Afghanistan,,16 Nov 1966 a
Albania,,12 May 1955 a
Algeria,,5 Aug 2004 a
Angola,,17 Sep 1986 a
Antigua and Barbuda,,25 Oct 1988 d
Argentina,31 Mar 1953,27 Feb 1961
Armenia,,24 Jan 2008 a
Australia,,10 Dec 1974 a
Austria,19 Oct 1959,18 Apr 1969
Bahamas,,16 Aug 1977 d
Bangladesh,,5 Oct 1998 a
Barbados,,12 Jan 1973 a
Belarus,31 Mar 1953,11 Aug 1954
Belgium,,20 May 1964 a
Bolivia (Plurinational State of),9 Apr 1953,22 Sep 1970
Bosnia and Herzegovina,,1 Sep 1993 d
Brazil,20 May 1953,13 Aug 1963
Bulgaria,,17 Mar 1954 a
Burkina Faso,,9 Dec 1998 a
Burundi,,18 Feb 1993 a
Cambodia,11 Nov 2001,
Canada,,30 Jan 1957 a
Central African Republic,,4 Sep 1962 d
Chile,31 Mar 1953,18 Oct 1967
Colombia,,5 Aug 1986 a
Congo,,15 Oct 1962 d
Costa Rica,31 Mar 1953,25 Jul 1967
Cte d'Ivoire,,18 Dec 1995 a
Croatia,,12 Oct 1992 d
Cuba,31 Mar 1953,8 Apr 1954
Cyprus,10 Sep 1968,12 Nov 1968
Czech Republic,,22 Feb 1993 d
Democratic Republic of the Congo,,12 Oct 1977 a
Denmark,29 Oct 1953,7 Jul 1954
Dominican Republic,31 Mar 1953,11 Dec 1953
Ecuador,31 Mar 1953,23 Apr 1954
Egypt,,8 Sep 1981 a
El Salvador,24 Jun 1953,26 Mar 2008
Ethiopia,31 Mar 1953,21 Jan 1969
Fiji,,12 Jun 1972 d
Finland,,6 Oct 1958 a
France,31 Mar 1953,22 Apr 1957
Gabon,19 Apr 1967,19 Apr 1967
Georgia,,6 Jul 2005 a
Germany,,4 Nov 1970 a
Ghana,,28 Dec 1965 a
Greece,1 Apr 1953,29 Dec 1953
Guatemala,31 Mar 1953,7 Oct 1959
Guinea,19 Mar 1975,24 Jan 1978
Haiti,23 Jul 1957,12 Feb 1958
Hungary,2 Sep 1954,20 Jan 1955
Iceland,25 Nov 1953,30 Jun 1954
India,29 Apr 1953,1 Nov 1961
Indonesia,31 Mar 1953,16 Dec 1958
Ireland,,14 Nov 1968 a
Israel,14 Apr 1953,6 Jul 1954
Italy,,6 Mar 1968 a
Jamaica,,14 Aug 1966 a
Japan,1 Apr 1955,
Jordan,,1 Jul 1992 a
Kazakhstan,,28 Mar 2000 a
Kyrgyzstan,,10 Feb 1997 a
Lao People's Democratic Republic,,28 Jan 1969 a
Latvia,,14 Apr 1992 a
Lebanon,24 Feb 1954,5 Jun 1956
Lesotho,,4 Nov 1974 a
Liberia,9 Dec 1953,
Libya,,16 May 1989 a
Luxembourg,4 Jun 1969,1 Nov 1976
Madagascar,,12 Feb 1964 a
Malawi,,29 Jun 1966 a
Mali,,16 Jul 1974 a
Malta,,9 Jul 1968 a
Mauritania,,4 May 1976 a
Mauritius,,18 Jul 1969 d
Mexico,31 Mar 1953,23 Mar 1981
Mongolia,,18 Aug 1965 a
Montenegro,,23 Oct 2006 d
Morocco,,22 Nov 1976 a
Myanmar,14 Sep 1954,
Nepal,,26 Apr 1966 a
Netherlands,8 Aug 1968,30 Jul 1971
New Zealand,,22 May 1968 a
Nicaragua,,17 Jan 1957 a
Niger,,7 Dec 1964 d
Nigeria,11 Jul 1980,17 Nov 1980
Norway,18 Sep 1953,24 Aug 1956
Pakistan,18 May 1954,7 Dec 1954
Papua New Guinea,,27 Jan 1982 a
Paraguay,16 Nov 1953,22 Feb 1990
Peru,,1 Jul 1975 a
Philippines,23 Sep 1953,12 Sep 1957
Poland,31 Mar 1953,11 Aug 1954
Republic of Korea,,23 Jun 1959 a
Republic of Moldova,,26 Jan 1993 a
Romania,27 Apr 1954,6 Aug 1954
Russian Federation,31 Mar 1953,3 May 1954
Rwanda,,26 Sep 2003 a
Senegal,,2 May 1963 d
Serbia,,12 Mar 2001 d
Sierra Leone,,25 Jul 1962 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Solomon Islands,,3 Sep 1981 a
South Africa,29 Jan 1993,
Spain,,14 Jan 1974 a
St. Vincent and the Grenadines,,27 Apr 1999 d
Swaziland,,20 Jul 1970 a
Sweden,6 Oct 1953,31 Mar 1954
Tajikistan,,7 Jun 1999 a
Thailand,5 Mar 1954,30 Nov 1954
The former Yugoslav Republic of Macedonia,,18 Jan 1994 d
Trinidad and Tobago,,24 Jun 1966 a
Tunisia,,24 Jan 1968 a
Turkey,12 Jan 1954,26 Jan 1960
Turkmenistan,,11 Oct 1999 a
Uganda,,21 Jun 1995 a
Ukraine,31 Mar 1953,15 Nov 1954
United Kingdom of Great Britain and Northern Ireland,,24 Feb 1967 a
United Republic of Tanzania,,19 Jun 1975 a
United States of America,,8 Apr 1976 a
Uruguay,26 May 1953,
Uzbekistan,,29 Sep 1997 a
Venezuela (Bolivarian Republic of),,31 May 1983 a
Yemen,,9 Feb 1987 a
Zambia,,4 Feb 1972 a
Zimbabwe,,5 Jun 1995 a
