Participant,Signature,"Ratification, Accession(a), Succession(d)"
Argentina,26 Mar 1975,
Armenia,,13 Sep 1993 a
Australia,,26 Jul 1990 a
Austria,26 Mar 1975,6 May 1982
Bahrain,,1 Feb 2007 a
Belgium,21 May 1974,
Bosnia and Herzegovina,,12 Jan 1994 d
Brazil,21 May 1974,
Chile,,8 Mar 2011 a
Costa Rica,,25 Mar 1999 a
Cote d'Ivoire,21 May 1974,
Croatia,,26 Jul 1993 d
Cyprus,21 May 1974,
El Salvador,,22 Apr 2008 a
France,27 Mar 1975,
Germany,21 May 1974,25 May 1979
Greece,,22 Jul 1991 a
Honduras,,7 Jan 2008 a
Israel,21 May 1974,
Italy,21 May 1974,7 Apr 1981
Jamaica,,12 Oct 1999 a
Kenya,21 May 1974,6 Jan 1976
Lebanon,21 May 1974,
Mexico,21 May 1974,18 Mar 1976
Montenegro,,23 Oct 2006 d
Morocco,21 May 1974,31 Mar 1983
Nicaragua,,1 Dec 1975 a
Oman,,18 Dec 2007 a
Panama,,25 Jun 1985 a
Peru,,7 May 1985 a
Portugal,,11 Dec 1995 a
Republic of Korea,,19 Dec 2011 a
Republic of Moldova,,28 Jul 2008 a
Russian Federation,,20 Oct 1988 a
Rwanda,,25 Apr 2001 a
Senegal,21 May 1974,
Serbia,,12 Mar 2001 d
Singapore,,27 Jan 2005 a
Slovenia,,3 Nov 1992 d
Spain,21 May 1974,
Switzerland,21 May 1974,24 Jun 1993
The former Yugoslav Republic of Macedonia,,2 Sep 1997 d
Togo,,10 Mar 2003 a
Trinidad and Tobago,,1 Aug 1996 a
United States of America,21 May 1974,7 Dec 1984
Viet Nam,,12 Oct 2005 a
