Participant
Australia
Austria
Barbados
Belgium
[Bolivia8]
Botswana
[Brazil8]
Bulgaria
Cambodia
Cameroon
Canada
"[Colombia5,11]"
Costa Rica
Cte d'Ivoire
Cyprus
Democratic Republic of the Congo12
Denmark
Djibouti
Dominica
Dominican Republic11
Egypt
[El Salvador8]
Estonia
Finland
[France4]
Gambia
Georgia
Germany
Greece
[Guatemala8]
Guinea
Guinea-Bissau
Haiti11
Honduras
Hungary
India
Ireland
[Israel3]
Japan
Kenya
Lesotho
Liberia
Liechtenstein
Lithuania
Luxembourg11
Madagascar
Malawi
Malta
Mauritius
Mexico
[Nauru8]
Netherlands
New Zealand
Nicaragua11
Nigeria
Norway
Pakistan
Panama11
Paraguay
Peru
Philippines
Poland
Portugal13
Senegal
"[Serbia2,6]"
Slovakia
Somalia
[South Africa7]
Spain
Sudan
Suriname
Swaziland
Sweden
Switzerland
[Thailand8]
Timor-Leste
Togo
[Turkey8]
Uganda
United Kingdom of Great Britain and Northern Ireland
[United States of America9]
Uruguay11
