Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Ratification"
Egypt,,6 Apr 1999 a
France,15 Oct 1991,
Gabon,,15 Dec 2004 a
Georgia,,21 Mar 1996 a
Mexico,19 Apr 1991,
Paraguay,,19 Jul 2005 a
Philippines,19 Apr 1991,
Spain,19 Apr 1991,
United States of America,30 Apr 1992,
