Participant,Signature,"Ratification, Accession(a), Succession(d)"
Antigua and Barbuda,,25 Oct 1988 d
Argentina,,26 Feb 1970 a
Austria,,1 Oct 1969 a
Azerbaijan,,16 Aug 1996 a
Bangladesh,,5 Oct 1998 a
Barbados,,1 Oct 1979 a
Benin,,19 Oct 1965 a
Bosnia and Herzegovina,,1 Sep 1993 d
Brazil,,11 Feb 1970 a
Burkina Faso,,8 Dec 1964 a
Chile,10 Dec 1962,
Côte d'Ivoire,,18 Dec 1995 a
Croatia,,12 Oct 1992 d
Cuba,17 Oct 1963,20 Aug 1965
Cyprus,,30 Jul 2002 a
Czech Republic,,22 Feb 1993 d
Denmark,31 Oct 1963,8 Sep 1964
Dominican Republic,,8 Oct 1964 a
Fiji,,19 Jul 1971 d
Finland,,18 Aug 1964 a
France,10 Dec 1962,14 Oct 2010
Germany,,9 Jul 1969 a
Greece,3 Jan 1963,
Guatemala,,18 Jan 1983 a
Guinea,10 Dec 1962,24 Jan 1978
Hungary,,5 Nov 1975 a
Iceland,,18 Oct 1977 a
Israel,10 Dec 1962,
Italy,20 Dec 1963,
Jordan,,1 Jul 1992 a
Kyrgyzstan,,10 Feb 1997 a
Liberia,,16 Sep 2005 a
Libya,,6 Sep 2005 a
Mali,,19 Aug 1964 a
Mexico,,22 Feb 1983 a
Mongolia,,6 Jun 1991 a
Montenegro,,23 Oct 2006 d
Netherlands,10 Dec 1962,2 Jul 1965
New Zealand,23 Dec 1963,12 Jun 1964
Niger,,1 Dec 1964 a
Norway,,10 Sep 1964 a
Philippines,5 Feb 1963,21 Jan 1965
Poland,17 Dec 1962,8 Jan 1965
Romania,27 Dec 1963,21 Jan 1993
Rwanda,,26 Sep 2003 a
Samoa,,24 Aug 1964 a
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
South Africa,,29 Jan 1993 a
Spain,,15 Apr 1969 a
Sri Lanka,12 Dec 1962,
St. Vincent and the Grenadines,,27 Apr 1999 d
Sweden,10 Dec 1962,16 Jun 1964
The former Yugoslav Republic of Macedonia,,18 Jan 1994 d
Trinidad and Tobago,,2 Oct 1969 a
Tunisia,,24 Jan 1968 a
United Kingdom of Great Britain and Northern Ireland,,9 Jul 1970 a
United States of America,10 Dec 1962,
Venezuela (Bolivarian Republic of),,31 May 1983 a
Yemen,,9 Feb 1987 a
Zimbabwe,,23 Nov 1994 a
