Participant,Acceptance(A)
Algeria,18 Dec 1996 A
Antigua and Barbuda,10 Oct 2000 A
Argentina,21 Sep 1995 A
Australia,10 Mar 1995 A
Azerbaijan,31 Oct 2001 A
Bahamas,7 May 1998 A
Bahrain,28 Jul 1998 A
Bangladesh,13 Jul 1998 A
Barbados,1 Jul 1998 A
Belgium,15 Sep 1998 A
Belize,6 May 1997 A
Brazil,23 Dec 1996 A
Brunei Darussalam,23 Dec 1998 A
Bulgaria,29 Jan 1997 A
Canada,23 Jun 1995 A
Chile,19 Jun 1998 A
China,27 Oct 1994 A
Comoros,3 Aug 2001 A
Congo,21 Aug 2001 A
Cote d'Ivoire,4 Nov 1998 A
Cuba,28 Feb 1994 A
Cyprus,24 Jun 1996 A
Democratic People's Republic of Korea,5 Apr 1994 A
Denmark,6 Jan 1994 A
Dominica,29 Apr 1997 A
Ecuador,30 Jan 1998 A
Egypt,12 Jul 1994 A
Eritrea,23 Oct 2001 A
Estonia,22 Feb 1994 A
Fiji,20 Aug 2002 A
Finland,28 Aug 1995 A
France,18 Nov 1997 A
Gambia,12 Jul 2001 A
Georgia,7 Jun 2001 A
Germany,17 Mar 1995 A
Ghana,1 Jul 1996 A
Greece,2 Dec 1994 A
Guatemala,8 Aug 2001 A
Guyana,16 Sep 1998 A
Honduras,26 Oct 1999 A
Hungary,12 May 2000 A
Iceland,17 Feb 1998 A
India,28 Nov 1995 A
Indonesia,21 May 1996 A
Iran (Islamic Republic of),20 Jun 1996 A
Ireland,16 Nov 1998 A
Italy,18 Feb 2000 A
Jamaica,31 Aug 1999 A
Kenya,4 Nov 1999 A
Kuwait,15 Sep 1995 A
Latvia,16 Jun 2000 A
Lebanon,10 Jul 1995 A
Liberia,16 Jun 1995 A
Libya,6 Nov 1998 A
Lithuania,16 Nov 1999 A
Luxembourg,22 Sep 2000 A
Madagascar,9 Oct 1996 A
Malawi,26 Oct 2001 A
Malta,4 Feb 1994 A
Marshall Islands,7 Sep 1998 A
Mauritius,16 Jan 1997 A
Mexico,4 May 1995 A
Monaco,27 Jan 1994 A
Morocco,16 Jun 1995 A
Myanmar,7 Jul 1998 A
Namibia,10 Sep 2001 A
Nepal,22 Sep 1998 A
Netherlands,26 Sep 1994 A
New Zealand,9 Oct 2000 A
Nigeria,4 May 1995 A
Oman,20 May 1998 A
Panama,28 Oct 1997 A
Papua New Guinea,7 Nov 2001 A
Peru,7 May 1996 A
Philippines,8 Dec 1997 A
Poland,29 Dec 1995 A
Portugal,16 Oct 2001 A
Qatar,27 Oct 1998 A
Republic of Korea,5 Apr 1994 A
Russian Federation,8 Sep 1994 A
Saudi Arabia,27 Feb 1996 A
Serbia,11 Dec 2000 A
Seychelles,30 Jun 1998 A
Sierra Leone,27 Jul 2001 A
Singapore,28 Nov 1995 A
Slovakia,12 Jun 1995 A
Slovenia,10 Mar 1998 A
South Africa,21 Oct 1999 A
Spain,24 Jan 1995 A
Sri Lanka,21 Jan 1998 A
St. Kitts and Nevis,8 Oct 2001 A
St. Lucia,10 Sep 1998 A
St. Vincent and the Grenadines,13 Apr 2000 A
Sudan,21 Aug 2001 A
Sweden,1 Sep 1994 A
Switzerland,21 Dec 1995 A
Syrian Arab Republic,18 Nov 1997 A
Thailand,10 Sep 1996 A
Tonga,3 Nov 2000 A
Trinidad and Tobago,10 Nov 1995 A
Tunisia,16 Jul 1996 A
Turkey,8 May 2001 A
United Arab Emirates,3 Mar 1995 A
United Kingdom of Great Britain and Northern Ireland,14 Sep 1994 A
United Republic of Tanzania,24 Jul 1998 A
United States of America,14 Oct 1998 A
Vanuatu,18 Feb 1999 A
Viet Nam,20 Jul 1998 A
