Participant,"Accession(a), Succession(d)"
Bahamas,13 Aug 1975 d
Cambodia,3 Oct 1951 d
Cameroon,20 Nov 1961 d
Central African Republic,4 Sep 1962 d
Congo,15 Oct 1962 d
Côte d'Ivoire,8 Dec 1961 d
Cyprus,16 May 1963 d
Czech Republic,30 Dec 1993 d
Democratic Republic of the Congo,31 May 1962 d
Ethiopia,28 Dec 1948 a
Fiji,1 Nov 1971 d
Ghana,3 Apr 1958 d
Indonesia,29 May 1958 a
Israel,12 May 1952 a
Jamaica,26 Dec 1963 d
Jordan,12 May 1958 a
Lao People's Democratic Republic,7 Oct 1950 d
Lebanon,24 May 1954 d
Lesotho,4 Nov 1974 d
Malawi,22 Jul 1965 d
Malaysia,21 Aug 1958 d
Malta,3 Jan 1966 d
Mauritius,18 Jul 1969 d
Niger,25 Aug 1961 d
Nigeria,26 Jun 1961 d
Papua New Guinea,28 Oct 1980 d
Philippines,30 Sep 1959 d
Senegal,2 May 1963 d
Serbia,31 Jul 2002 d
Sierra Leone,13 Mar 1962 d
Slovakia,28 May 1993 d
Sri Lanka,4 Dec 1957 d
Syrian Arab Republic,20 Jan 1954 d
Trinidad and Tobago,11 Apr 1966 d
Zambia,9 Apr 1973 d
