Participant,"Accession(a), Succession(d)"
Afghanistan,5 Sep 1947 a
Albania,2 Jul 1957 a
Algeria,31 Oct 1963 a
Angola,9 Aug 1990 a
Antigua and Barbuda,25 Oct 1988 d
Argentina,12 Oct 1956 a
Armenia,29 Apr 2004 a
Australia,2 Mar 1949 a
Austria,10 May 1957 a
Azerbaijan,13 Aug 1992 a
Bahamas,17 Mar 1977 d
Bahrain,17 Sep 1992 a
Bangladesh,13 Jan 1978 d
Barbados,10 Jan 1972 d
Belarus,22 Oct 1953 a
Belgium,25 Sep 1948 a
Belize,14 Sep 2005 a
Bolivia (Plurinational State of),23 Dec 1949 a
Bosnia and Herzegovina,1 Sep 1993 d
Brazil,15 Dec 1949 a
Bulgaria,30 Sep 1960 a
Burkina Faso,27 Apr 1962 a
Burundi,17 Mar 1971 a
Cambodia,6 Nov 1963 a
Cameroon,20 Oct 1961 d
Canada,22 Jan 1948 a
Central African Republic,4 Sep 1962 d
Chile,15 Oct 1948 a
China,11 Sep 1979 a
Colombia,6 Aug 1974 a
Congo,15 Oct 1962 d
Costa Rica,26 Oct 1949 a
Côte d'Ivoire,8 Dec 1961 d
Croatia,12 Oct 1992 d
Cuba,9 Sep 1959 a
Cyprus,5 Nov 1963 d
Czech Republic,22 Feb 1993 d
Democratic Republic of the Congo,8 Dec 1964 a
Denmark,10 Jun 1948 a
Djibouti,6 Apr 1978 d
Dominica,24 Nov 1987 d
Dominican Republic,7 Mar 1947 a
Ecuador,22 Mar 1956 a
Egypt,17 Sep 1948 a
El Salvador,9 Jul 1947 a
Estonia,21 Oct 1991 a
Ethiopia,22 Jul 1947 a
Fiji,21 Jun 1971 d
Finland,31 Jul 1958 a
France,18 Aug 1947 a
Gabon,13 Mar 1964 a
Gambia,1 Aug 1966 d
Georgia,17 Dec 2007 a
Germany,5 Nov 1980 a
Ghana,5 Aug 1958 a
Greece,29 Dec 1947 a
Guatemala,7 Jul 1947 a
Guinea,10 Jan 1968 a
Guyana,28 Dec 1972 a
Haiti,6 Aug 1947 a
Honduras,16 May 1947 a
Hungary,30 Jul 1956 a
Iceland,10 Mar 1948 a
India,13 May 1948 a
Indonesia,8 Mar 1972 a
Iran (Islamic Republic of),8 May 1947 a
Iraq,15 Sep 1949 a
Ireland,10 May 1967 a
Israel,21 Sep 1949 a
Italy,3 Feb 1958 a
Jamaica,9 Sep 1963 a
Japan,18 Apr 1963 a
Jordan,3 Jan 1958 a
Kazakhstan,26 Aug 1998 a
Kenya,1 Jul 1965 a
Kuwait,13 Dec 1963 a
Kyrgyzstan,28 Jan 2000 a
Lao People's Democratic Republic,24 Nov 1956 a
Latvia,21 Nov 1997 a
Lebanon,10 Mar 1949 a
Lesotho,26 Nov 1969 a
Liberia,14 Mar 1947 a
Libya,28 Nov 1958 a
Liechtenstein,25 Mar 1993 a
Lithuania,9 Dec 1993 a
Luxembourg,14 Feb 1949 a
Madagascar,23 May 1962 d
Malawi,17 May 1966 a
Malaysia,28 Oct 1957 d
Mali,28 Mar 1968 a
Malta,27 Jun 1968 d
Mauritius,18 Jul 1969 d
Mexico,26 Nov 1962 a
Micronesia (Federated States of),5 Dec 2008 a
Monaco,8 Mar 2005 a
Mongolia,31 May 1962 a
Montenegro,23 Oct 2006 d
Morocco,18 Mar 1957 a
Mozambique,8 May 2001 a
Myanmar,25 Jan 1955 a
Namibia,17 Jul 2006 a
Nepal,28 Sep 1965 a
Netherlands,19 Apr 1948 a
New Zealand,10 Dec 1947 a
Nicaragua,29 Nov 1947 a
Niger,25 Aug 1961 d
Nigeria,26 Jun 1961 d
Norway,18 Aug 1947 a
Pakistan,22 Sep 1948 a
Panama,27 May 1947 a
Papua New Guinea,4 Dec 1975 d
Paraguay,2 Oct 1953 a
Peru,24 Jul 1963 a
Philippines,28 Oct 1947 a
Poland,8 Jan 1948 a
Portugal,14 Oct 1998 a
Qatar,26 Sep 2007 a
Republic of Korea,9 Apr 1992 a
Republic of Moldova,12 Apr 1995 a
Romania,5 Jul 1956 a
Russian Federation,22 Sep 1953 a
Rwanda,15 Apr 1964 a
San Marino,22 Feb 2012 a
Senegal,27 May 1963 d
Serbia,12 Mar 2001 d
Seychelles,26 Aug 1980 a
Sierra Leone,13 Mar 1962 d
Singapore,18 Mar 1966 d
Slovakia,28 May 1993 d
Slovenia,6 Jul 1992 d
Somalia,9 Jul 1963 a
South Africa,30 Aug 2002 a
Spain,31 Jul 1974 a
Sri Lanka,19 Jun 2003 a
St. Lucia,27 Aug 1986 d
Sudan,21 Mar 1977 a
Sweden,28 Aug 1947 a
Switzerland,25 Sep 2012 a
Syrian Arab Republic,29 Sep 1953 a
Tajikistan,19 Oct 2001 a
Thailand,30 Mar 1956 a
The former Yugoslav Republic of Macedonia,18 Aug 1993 d
Togo,27 Feb 1962 d
Trinidad and Tobago,19 Oct 1965 a
Tunisia,7 May 1957 a
Turkey,22 Aug 1950 a
Turkmenistan,23 Nov 2007 a
Uganda,9 Jul 2001 a
Ukraine,20 Nov 1953 a
United Arab Emirates,2 Jun 2003 a
United Kingdom of Great Britain and Northern Ireland,17 Sep 1946 a
United Republic of Tanzania,29 Oct 1962 a
United States of America,29 Apr 1970 a
Uruguay,16 Feb 1984 a
Venezuela (Bolivarian Republic of),21 Dec 1998 a
Viet Nam,6 Apr 1988 a
Yemen,23 Jul 1963 a
Zambia,16 Jun 1975 d
Zimbabwe,13 May 1991 a
