Participant,Signature,"Ratification, Accession(a), Succession(d)"
Albania,,5 Sep 2003 a
Algeria,,31 Oct 1963 a
Argentina,4 Jun 1954,
Australia,,6 Jan 1967 a
Austria,4 Jun 1954,30 Mar 1956
Barbados,,5 Mar 1971 d
Belgium,4 Jun 1954,21 Feb 1955
Bosnia and Herzegovina,,1 Sep 1993 d
Bulgaria,,7 Oct 1959 a
Cambodia,4 Jun 1954,
Canada,,1 Jun 1955 a
Central African Republic,,15 Oct 1962 a
Chile,,15 Aug 1974 a
Costa Rica,20 Jul 1954,4 Sep 1963
Croatia,,31 Aug 1994 d
Cuba,4 Jun 1954,20 Nov 1963
Cyprus,,16 May 1963 d
Denmark,,13 Oct 1955 a
Dominican Republic,4 Jun 1954,
Ecuador,4 Jun 1954,30 Aug 1962
Egypt,4 Jun 1954,4 Apr 1957
El Salvador,,18 Jun 1958 a
European Union,,1 Feb 1996 a
Fiji,,31 Oct 1972 d
Finland,,21 Jun 1962 a
France,4 Jun 1954,24 Apr 1959
Germany,4 Jun 1954,16 Sep 1957
Ghana,,16 Jun 1958 a
Guatemala,4 Jun 1954,
Haiti,4 Jun 1954,12 Feb 1958
Holy See,4 Jun 1954,
Honduras,15 Jun 1954,
Hungary,,4 May 1983 a
India,4 Jun 1954,5 May 1958
Iran (Islamic Republic of),,3 Apr 1968 a
Ireland,,14 Aug 1967 a
Israel,,1 Aug 1957 a
Italy,4 Jun 1954,12 Feb 1958
Jamaica,,11 Nov 1963 d
Japan,2 Dec 1954,8 Jun 1964
Jordan,,18 Dec 1957 a
Liberia,,16 Sep 2005 a
Lithuania,,3 Jan 2003 a
Luxembourg,6 Dec 1954,21 Nov 1956
Malaysia,,7 May 1958 d
Mali,,12 Jun 1974 a
Malta,,3 Jan 1966 d
Mauritius,,18 Jul 1969 d
Mexico,4 Jun 1954,13 Jun 1957
Monaco,4 Jun 1954,
Montenegro,,23 Oct 2006 d
Morocco,,25 Sep 1957 a
Nepal,,21 Sep 1960 a
Netherlands,4 Jun 1954,7 Mar 1958
New Zealand,,17 Aug 1962 a
Nigeria,,26 Jun 1961 d
Norway,,10 Oct 1961 a
Panama,4 Jun 1954,
Peru,,16 Jan 1959 a
Philippines,4 Jun 1954,9 Feb 1960
Poland,,16 Mar 1960 a
Portugal,4 Jun 1954,18 Sep 1958
Romania,,26 Jan 1961 a
Russian Federation,,17 Aug 1959 a
Rwanda,,1 Dec 1964 d
Saudi Arabia,,23 Jan 2003 a
Senegal,,19 Apr 1972 a
Serbia,,12 Mar 2001 d
Sierra Leone,,13 Mar 1962 d
Singapore,,15 Aug 1966 d
Slovenia,,6 Jul 1992 d
Solomon Islands,,3 Sep 1981 d
Spain,4 Jun 1954,18 Aug 1958
Sri Lanka,4 Jun 1954,28 Nov 1955
Sudan,,16 Oct 2003 a
Sweden,4 Jun 1954,11 Jun 1957
Switzerland,4 Jun 1954,23 May 1956
Syrian Arab Republic,,26 Mar 1959
The former Yugoslav Republic of Macedonia,,20 Dec 1999 d
Tonga,,11 Nov 1977 d
Trinidad and Tobago,,11 Apr 1966 d
Tunisia,,20 Jun 1974 a
Turkey,,26 Apr 1983 a
Uganda,,15 Apr 1965 a
United Arab Emirates,,10 Jan 2007 a
United Kingdom of Great Britain and Northern Ireland,4 Jun 1954,27 Feb 1956
United Republic of Tanzania,,28 Nov 1962 a
United States of America,4 Jun 1954,25 Jul 1956
Uruguay,4 Jun 1954,
