Participant,Signature,"Ratification, Accession(a), Succession(d)"
Afghanistan,8 Jul 1965,
Argentina,29 Dec 1965,
Armenia,,24 May 2013 a
Australia,,2 May 1972 a
Belarus,28 Dec 1965,11 Jul 1972
Belgium,30 Dec 1965,21 Apr 1970
Bolivia (Plurinational State of),29 Dec 1965,
Brazil,4 Aug 1965,
Burkina Faso,,23 Mar 1987 a
Burundi,,1 May 1968 a
Cameroon,10 Aug 1965,
Central African Republic,30 Dec 1965,9 Aug 1989
Chad,,2 Mar 1967 a
Chile,20 Dec 1965,25 Oct 1972
Croatia,,3 Aug 1992 d
Czech Republic,,30 Sep 1993 d
Denmark,,26 Mar 1969 a
Finland,,22 Jan 1971 a
Georgia,,2 Jun 1999 a
Germany,20 Dec 1965,
Holy See,30 Dec 1965,
Hungary,30 Dec 1965,20 Sep 1967
Italy,31 Dec 1965,
Kazakhstan,,1 Nov 2007 a
Lao People's Democratic Republic,8 Jul 1965,29 Dec 1967
Lesotho,,28 May 1969 a
Luxembourg,28 Dec 1965,
Malawi,,12 Dec 1966 a
Mali,,11 Oct 1967 a
Mongolia,,26 Jul 1966 a
Montenegro,,23 Oct 2006 d
Nepal,9 Jul 1965,22 Aug 1966
Netherlands,30 Dec 1965,30 Nov 1971
Niger,,3 Jun 1966 a
Nigeria,,16 May 1966 a
Norway,,17 Sep 1968 a
Paraguay,23 Dec 1965,
Russian Federation,28 Dec 1965,21 Jul 1972
Rwanda,23 Jul 1965,13 Aug 1968
San Marino,23 Jul 1965,12 Jun 1968
Senegal,,5 Aug 1985 a
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
Spain,,5 May 2010 a
Sudan,11 Aug 1965,
Swaziland,,26 May 1969 a
Sweden,,16 Jun 1971 a
Switzerland,10 Dec 1965,
Tajikistan,,13 Jul 2011 a
Turkey,,25 Mar 1969 a
Uganda,21 Dec 1965,
Ukraine,31 Dec 1965,21 Jul 1972
United States of America,30 Dec 1965,29 Oct 1968
Uzbekistan,,7 Feb 1996 a
Zambia,23 Dec 1965,2 Dec 1966
