Participant,Acceptance(A)
Afghanistan,11 Aug 1960 A
Albania,27 Jul 1960 A
Australia,12 Aug 1959 A
Austria,29 Mar 1960 A
Belgium,20 Nov 1959 A
Benin,20 Sep 1960 A
Bulgaria,11 Feb 1960 A
Burkina Faso,4 Oct 1960 A
Cambodia,8 Dec 1959 A
Cameroon,6 May 1960 A
Canada,25 Feb 1960 A
Central African Republic,20 Sep 1960 A
Chile,28 Apr 1960 A
Cuba,27 Jul 1960 A
Denmark,15 Jan 1960 A
Dominican Republic,16 Sep 1960 A
Ecuador,10 Jun 1960 A
Egypt,25 Mar 1960 A
El Salvador,10 Feb 1960 A
Ethiopia,3 May 1960 A
Finland,4 May 1960 A
Ghana,16 Sep 1960 A
Greece,23 May 1960 A
Guinea,5 Aug 1960 A
Honduras,23 Feb 1960 A
India,23 Feb 1960 A
Iran (Islamic Republic of),2 May 1960 A
Iraq,25 Nov 1959 A
Ireland,15 Oct 1960 A
Israel,4 Jan 1960 A
Jordan,25 Mar 1960 A
Kuwait,9 May 1960 A
Lao People's Democratic Republic,4 May 1960 A
Libya,8 Feb 1960 A
Luxembourg,25 Oct 1960 A
Malaysia,4 Feb 1960 A
Mali,17 Oct 1960 A
Mexico,2 Aug 1960 A
Morocco,28 Mar 1960 A
Myanmar,19 Apr 1960 A
Nauru,9 May 1994 A
Nepal,12 Apr 1960 A
Netherlands,14 Sep 1960 A
New Zealand,4 Apr 1960 A
Niger,5 Oct 1960 A
Norway,2 Nov 1959 A
Pakistan,12 Feb 1960 A
Paraguay,8 Feb 1960 A
Philippines,25 Mar 1960 A
Poland,18 Feb 1960 A
Republic of Korea,29 Dec 1959 A
Romania,2 Dec 1960 A
Russian Federation,17 Jun 1960 A
Spain,4 Nov 1959 A
Sri Lanka,9 May 1960 A
Sudan,1 Apr 1960 A
Sweden,1 Dec 1959 A
Switzerland,15 Jan 1960 A
Syrian Arab Republic,25 Mar 1960 A
Thailand,24 Sep 1959 A
Togo,13 May 1960 A
Tunisia,18 Mar 1960 A
United Kingdom of Great Britain and Northern Ireland,1 Apr 1960 A
Viet Nam,7 Sep 1959 A
