Syrian Arab Republic,30 Nov 1999 a
Tajikistan,7 May 2009 a
Thailand,23 Jun 2003
The former Yugoslav Republic of Macedonia,31 Aug 1999 a
Timor-Leste,16 Sep 2009 a
Togo,26 Nov 2001 A
Tonga,26 Nov 2003
Trinidad and Tobago,10 Jun 1999
Tunisia,19 Oct 1999
Turkey,24 Oct 2003
Turkmenistan,28 Mar 2008 a
Tuvalu,31 Aug 2000 A
Uganda,23 Nov 1999 a
Ukraine,4 May 2007
United Arab Emirates,16 Feb 2005 a
United Kingdom of Great Britain and Northern Ireland,12 Oct 2001
United Republic of Tanzania,6 Dec 2002
United States of America,1 Oct 2003
Uruguay,16 Feb 2000 a
Uzbekistan,31 Oct 2006
Vanuatu,21 Jul 2011 a
Venezuela (Bolivarian Republic of),13 May 2002
Viet Nam,3 Dec 2004
Yemen,23 Apr 2001 a
Zambia,11 Oct 2007 a
Zimbabwe,1 Mar 2012 a
