Participant,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Afghanistan,17 Jun 2004 a
Albania,25 May 2006 a
Algeria,31 May 2000
Andorra,26 Jan 2009 a
Angola,21 Jun 2011 a
Antigua and Barbuda,19 Jul 1993 a
Argentina,20 Apr 1995 a
Armenia,26 Nov 2003 a
Australia,30 Jun 1994 A
Austria,19 Sep 1996 A
Azerbaijan,12 Jun 1996 a
Bahamas,4 May 1993 a
Bahrain,13 Mar 2001
Bangladesh,27 Nov 2000 A
Barbados,20 Jul 1994 A
Belarus,13 Mar 2007 A
Belgium,7 Aug 1997
Belize,9 Jan 1998 a
Benin,21 Jun 2000
Bhutan,23 Aug 2004 a
Bolivia (Plurinational State of),3 Oct 1994 a
Bosnia and Herzegovina,11 Aug 2003 a
Botswana,13 May 1997 a
Brazil,25 Jun 1997
Brunei Darussalam,3 Mar 2009 a
Bulgaria,28 Apr 1999
Burkina Faso,12 Dec 1995
Burundi,18 Oct 2001 A
Cabo Verde,31 Jul 2001 a
Cambodia,31 Jan 2007 a
Cameroon,25 Jun 1996 A
Canada,16 Mar 1994
Central African Republic,29 May 2008
Chad,30 May 2001
Chile,14 Jan 1994
China,22 Apr 2003 a
Colombia,5 Aug 1997 A
Comoros,2 Dec 2002 a
Congo,19 Oct 2001 a
Cook Islands,22 Dec 2003 a
Costa Rica,11 Nov 1998
Côte d'Ivoire,8 Oct 2003
Croatia,11 Feb 1997
Cuba,19 Oct 1998 AA
Cyprus,2 Jun 2003 A
Czech Republic,18 Dec 1996 a
Democratic People's Republic of Korea,17 Jun 1999 a
Democratic Republic of the Congo,30 Nov 1994 a
Denmark,21 Dec 1993 A
Djibouti,30 Jul 1999 a
Dominica,7 Mar 2006 a
Dominican Republic,24 Dec 2001 a
Ecuador,24 Nov 1993 A
Egypt,28 Jun 1994
El Salvador,8 Dec 2000 a
Equatorial Guinea,11 Jul 2007 a
Eritrea,5 Jul 2005 a
Estonia,12 Apr 1999
Ethiopia,25 Nov 2009
European Union,20 Nov 1995 AA
Fiji,17 May 2000 a
Finland,16 Nov 1993 A
France,3 Jan 1996 AA
Gabon,4 Dec 2000 a
Gambia,30 Apr 2008
Georgia,12 Jul 2000 a
Germany,28 Dec 1993
Ghana,9 Apr 2001
Greece,30 Jan 1995
Grenada,20 May 1999 a
Guatemala,21 Jan 2002 a
Guinea,28 Feb 2012 a
Guinea-Bissau,12 Nov 2002 a
Guyana,23 Jul 1999 A
Haiti,29 Mar 2000 a
Holy See,5 May 2008 a
Honduras,24 Jan 2002
Hungary,17 May 1994 a
Iceland,15 Mar 1994
India,3 Mar 2003 a
Indonesia,10 Dec 1998 a
Iran (Islamic Republic of),4 Aug 1997 A
Iraq,25 Jun 2008 a
Ireland,16 Apr 1996 A
Israel,5 Apr 1995
Italy,4 Jan 1995
Jamaica,6 Nov 1997
Japan,20 Dec 1994 A
Jordan,30 Jun 1995
Kazakhstan,28 Jun 2011 a
Kenya,27 Sep 1994
Kiribati,9 Aug 2004 a
Kuwait,22 Jul 1994 a
Kyrgyzstan,13 May 2003
Lao People's Democratic Republic,28 Jun 2006 a
Latvia,2 Nov 1998 a
Lebanon,31 Jul 2000 a
Lesotho,15 Apr 2010 a
Liberia,15 Jan 1996 a
Libya,24 Sep 2004 a
Liechtenstein,22 Nov 1996 a
Lithuania,3 Feb 1998
Luxembourg,9 May 1994
Madagascar,16 Jan 2002 a
Malawi,28 Feb 1994 A
Malaysia,5 Aug 1993 a
Maldives,27 Sep 2001
Mali,7 Mar 2003 A
Malta,22 Dec 2003 A
Marshall Islands,24 May 1993 a
Mauritania,22 Jul 2005 A
Mauritius,30 Nov 1993
Mexico,16 Sep 1994 A
Micronesia (Federated States of),27 Nov 2001 a
Monaco,15 Jun 1999 A
Mongolia,7 Mar 1996 a
Montenegro,23 Oct 2006 d
Morocco,28 Dec 1995 a
Mozambique,9 Sep 1994 a
Myanmar,22 May 2009 a
Namibia,28 Jul 2003 A
Nauru,10 Sep 2004 a
Nepal,18 May 2012 a
Netherlands,25 Apr 1994 A
New Zealand,4 Jun 1993
Nicaragua,13 Dec 1999
Niger,8 Oct 1999
Nigeria,27 Sep 2001
Niue,22 Dec 2003 a
Norway,3 Sep 1993
Oman,5 Aug 1999 a
Pakistan,17 Feb 1995
Palau,29 May 2001 a
Panama,4 Oct 1996 a
Papua New Guinea,7 Oct 2003 a
Paraguay,27 Apr 2001
Peru,7 Jun 1999 a
Philippines,15 Jun 2001
Poland,2 Oct 1996 a
Portugal,24 Feb 1998
Qatar,22 Jan 1996 a
Republic of Korea,2 Dec 1994 A
Republic of Moldova,25 Jun 2001 a
Romania,28 Nov 2000 A
Russian Federation,14 Dec 2005 A
Rwanda,7 Jan 2004 a
Samoa,4 Oct 2001 A
San Marino,23 Apr 2009 a
Sao Tome and Principe,19 Nov 2001 a
Saudi Arabia,1 Mar 1993 a
Senegal,12 Aug 1999 a
Serbia,22 Mar 2005 a
Seychelles,27 May 1993
Sierra Leone,29 Aug 2001 a
Singapore,22 Sep 2000 a
Slovakia,8 Jan 1998 a
Slovenia,13 Nov 1998 A
Solomon Islands,17 Aug 1999 a
Somalia,1 Aug 2001 a
South Africa,13 Mar 2001 a
South Sudan,16 Oct 2012 a
Spain,5 Jun 1995 A
Sri Lanka,7 Jul 1997 a
St. Kitts and Nevis,19 May 1994 a
St. Lucia,24 Aug 1999 a
St. Vincent and the Grenadines,2 Dec 1996 a
Sudan,2 Jan 2002 a
Suriname,29 Mar 2006 a
Swaziland,16 Dec 2005 a
Sweden,9 Aug 1993
Switzerland,16 Sep 1996
Syrian Arab Republic,30 Nov 1999 a
Tajikistan,7 May 2009 a
Thailand,1 Dec 1995
The former Yugoslav Republic of Macedonia,9 Nov 1998
Timor-Leste,16 Sep 2009 a
Togo,6 Jul 1998 A
Tonga,26 Nov 2003
Trinidad and Tobago,10 Jun 1999
Tunisia,2 Feb 1995 a
Turkey,10 Nov 1995
Turkmenistan,28 Mar 2008 a
Tuvalu,31 Aug 2000 A
Uganda,22 Nov 1999 a
Ukraine,4 Apr 2002
United Arab Emirates,16 Feb 2005 a
United Kingdom of Great Britain and Northern Ireland,4 Jan 1995
United Republic of Tanzania,6 Dec 2002
United States of America,2 Mar 1994
Uruguay,3 Jul 1997 a
Uzbekistan,10 Jun 1998 a
Vanuatu,21 Nov 1994 A
Venezuela (Bolivarian Republic of),10 Dec 1997
Viet Nam,26 Jan 1994 a
Yemen,23 Apr 2001 a
Zambia,11 Oct 2007 a
Zimbabwe,3 Jun 1994
