Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a)"
Armenia,21 May 2003,
Austria,30 Dec 2003,
Belgium,21 May 2003,
Bosnia and Herzegovina,21 May 2003,
Bulgaria,21 May 2003,
Cyprus,21 May 2003,
Denmark,21 May 2003,
Estonia,21 May 2003,
Finland,21 May 2003,
Georgia,21 May 2003,
Greece,21 May 2003,
Hungary,21 May 2003,25 Jun 2004
Latvia,21 May 2003,
Lithuania,21 May 2003,
Luxembourg,21 May 2003,
Monaco,21 May 2003,
Norway,21 May 2003,
Poland,13 Jun 2003,
Portugal,21 May 2003,
Republic of Moldova,21 May 2003,
Romania,21 May 2003,
Sweden,21 May 2003,
Ukraine,21 May 2003,
United Kingdom of Great Britain and Northern Ireland,21 May 2003,
