Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification"
Afghanistan,10 Apr 1981,
Albania,,28 Aug 2002 a
Antigua and Barbuda,,23 Aug 2010 a
Argentina,2 Dec 1981,2 Oct 1995
Australia,8 Apr 1982,29 Sep 1983
Austria,10 Apr 1981,14 Mar 1983
Bangladesh,,6 Sep 2000 a
Belarus,10 Apr 1981,23 Jun 1982
Belgium,10 Apr 1981,7 Feb 1995
Benin,,27 Mar 1989 a
Bolivia (Plurinational State of),,21 Sep 2001 a
Bosnia and Herzegovina,,1 Sep 1993 d
Brazil,,3 Oct 1995 a
Bulgaria,10 Apr 1981,15 Oct 1982
Burkina Faso,,26 Nov 2003 a
Burundi,,13 Jul 2012 a
Cabo Verde,,16 Sep 1997 a
Cambodia,,25 Mar 1997 a
Cameroon,,7 Dec 2006 a
Canada,10 Apr 1981,24 Jun 1994
Chile,,15 Oct 2003 A
China,14 Sep 1981,7 Apr 1982
Colombia,,6 Mar 2000 a
Costa Rica,,17 Dec 1998 a
Croatia,,2 Dec 1993 d
Cuba,10 Apr 1981,2 Mar 1987
Cyprus,,12 Dec 1988 a
Czech Republic,,22 Feb 1993 d
Denmark,10 Apr 1981,7 Jul 1982
Djibouti,,29 Jul 1996 a
Dominican Republic,,21 Jun 2010 a
Ecuador,9 Sep 1981,4 May 1982
Egypt,10 Apr 1981,
El Salvador,,26 Jan 2000 a
Estonia,,20 Apr 2000 a
Finland,10 Apr 1981,8 Apr 1982
France,10 Apr 1981,4 Mar 1988
Gabon,,1 Oct 2007 a
Georgia,,29 Apr 1996 a
Germany,10 Apr 1981,25 Nov 1992
Greece,10 Apr 1981,28 Jan 1992
Guatemala,,21 Jul 1983 a
Guinea-Bissau,,6 Aug 2008 a
Holy See,,22 Jul 1997 a
Honduras,,30 Oct 2003 a
Hungary,10 Apr 1981,14 Jun 1982
Iceland,10 Apr 1981,22 Aug 2008
India,15 May 1981,1 Mar 1984
Ireland,10 Apr 1981,13 Mar 1995
Israel,,22 Mar 1995 a
Italy,10 Apr 1981,20 Jan 1995
Jamaica,,25 Sep 2008 a
Japan,22 Sep 1981,9 Jun 1982 A
Jordan,,19 Oct 1995 a
Kazakhstan,,8 Jul 2009 a
Kuwait,,24 May 2013 a
Lao People's Democratic Republic,,3 Jan 1983 a
Latvia,,4 Jan 1993 a
Lesotho,,6 Sep 2000 a
Liberia,,16 Sep 2005 a
Liechtenstein,11 Feb 1982,16 Aug 1989
Lithuania,,3 Jun 1998 a
Luxembourg,10 Apr 1981,21 May 1996
Madagascar,,14 Mar 2008 a
Maldives,,7 Sep 2000 a
Mali,,24 Oct 2001 a
Malta,,26 Jun 1995 a
Mauritius,,6 May 1996 a
Mexico,10 Apr 1981,11 Feb 1982
Monaco,,12 Aug 1997 a
Mongolia,10 Apr 1981,8 Jun 1982
Montenegro,,23 Oct 2006 d
Morocco,10 Apr 1981,19 Mar 2002
Nauru,,12 Nov 2001 a
Netherlands,10 Apr 1981,18 Jun 1987 A
New Zealand,10 Apr 1981,18 Oct 1993
Nicaragua,20 May 1981,5 Dec 2000
Niger,,10 Nov 1992 a
Nigeria,26 Jan 1982,
Norway,10 Apr 1981,7 Jun 1983
Pakistan,26 Jan 1982,1 Apr 1985
Panama,,26 Mar 1997 a
Paraguay,,22 Sep 2004 a
Peru,,3 Jul 1997 a
Philippines,15 May 1981,15 Jul 1996
Poland,10 Apr 1981,2 Jun 1983
Portugal,10 Apr 1981,4 Apr 1997
Qatar,,16 Nov 2009 a
Republic of Korea,,9 May 2001 a
Republic of Moldova,,8 Sep 2000 a
Romania,8 Apr 1982,26 Jul 1995
Russian Federation,10 Apr 1981,10 Jun 1982
Saudi Arabia,,7 Dec 2007 a
Senegal,,29 Nov 1999 a
Serbia,,12 Mar 2001 d
Seychelles,,8 Jun 2000 a
Sierra Leone,1 May 1981,30 Sep 2004
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
South Africa,,13 Sep 1995 a
Spain,10 Apr 1981,29 Dec 1993
Sri Lanka,,24 Sep 2004 a
St. Vincent and the Grenadines,,6 Dec 2010 a
Sudan,10 Apr 1981,
Sweden,10 Apr 1981,7 Jul 1982
Switzerland,18 Jun 1981,20 Aug 1982
Tajikistan,,12 Oct 1999 a
The former Yugoslav Republic of Macedonia,,30 Dec 1996 d
Togo,15 Sep 1981,4 Dec 1995 A
Tunisia,,15 May 1987 a
Turkey,26 Mar 1982,2 Mar 2005
Turkmenistan,,19 Mar 2004 a
Uganda,,14 Nov 1995 a
Ukraine,10 Apr 1981,23 Jun 1982
United Arab Emirates,,26 Feb 2009 a
United Kingdom of Great Britain and Northern Ireland,10 Apr 1981,13 Feb 1995
United States of America,8 Apr 1982,24 Mar 1995
Uruguay,,6 Oct 1994 a
Uzbekistan,,29 Sep 1997 a
Venezuela (Bolivarian Republic of),,19 Apr 2005 a
Viet Nam,10 Apr 1981,
Zambia,,25 Sep 2013 a
