Participant,Signature,"Ratification, Accession(a)"
Antigua and Barbuda,18 Oct 1969,30 Jan 1970
Bahamas,18 Oct 1969,28 Jan 1970
Barbados,18 Oct 1969,16 Jan 1970
Belize,18 Oct 1969,26 Jan 1970
Brazil,,12 Dec 2012 a
British Virgin Islands,18 Oct 1969,30 Jan 1970
Canada,18 Oct 1969,22 Jan 1970
Cayman Islands,18 Oct 1969,27 Jan 1970
China,,3 Oct 1997 a
Colombia,,22 Nov 1974 a
Dominica,18 Oct 1969,26 Jan 1970
France,,11 May 1984 a
Germany,,25 May 1989 a
Grenada,18 Oct 1969,26 Jan 1970
Guyana,18 Oct 1969,22 Jan 1970
Haiti,,1 Apr 2005 a
Italy,,26 Oct 1988 a
Jamaica,18 Oct 1969,9 Jan 1970
Mexico,,7 May 1982 a
Montserrat,18 Oct 1969,28 Jan 1970
St. Kitts and Nevis,18 Oct 1969,26 Jan 1970
St. Lucia,18 Oct 1969,26 Jan 1970
St. Vincent and the Grenadines,18 Oct 1969,26 Jan 1970
Suriname,,29 Mar 2011 a
Trinidad and Tobago,18 Oct 1969,20 Jan 1970
Turks and Caicos Islands,18 Oct 1969,5 Jan 1970
United Kingdom of Great Britain and Northern Ireland,18 Oct 1969,23 Jan 1970
Venezuela (Bolivarian Republic of),,25 Apr 1973 a
