Participant,Signature,"Accession(a), Succession(d), Ratification"
Belarus,,30 Aug 2006 a
Belgium,2 Nov 1966,9 Mar 1972
Bulgaria,14 Nov 1966,4 Mar 1980
Czech Republic,,2 Jun 1993 d
France,17 May 1966,8 Jun 1970
Germany,14 Nov 1966,19 Apr 1974
Hungary,,5 Jan 1978 a
Luxembourg,29 Jul 1966,26 Mar 1982
Montenegro,,23 Oct 2006 d
Netherlands,14 Nov 1966,14 Aug 1978
Republic of Moldova,,18 Jan 2000 a
Romania,,24 May 1976 a
Russian Federation,,19 Feb 1981 a
Serbia,,31 Jul 2002 d
Slovakia,,28 May 1993 d
Switzerland,14 Nov 1966,7 Feb 1975
