Participant,"Ratification, Approval(AA), Acceptance(A)"
Albania,12 May 2006 A
Austria,14 Sep 2006
Bulgaria,25 Jan 2007
Croatia,11 Feb 2009
Czech Republic,18 Apr 2007 A
Estonia,12 Apr 2010
European Union,18 Jan 2008 AA
Finland,19 Feb 2014 A
France,22 Nov 2011 AA
Germany,22 Feb 2007
Hungary,29 May 2009 AA
Lithuania,22 Mar 2011
Luxembourg,4 May 2007
Malta,28 May 2014 A
Montenegro,9 Jul 2009
Netherlands,14 Apr 2009 A
Norway,24 Feb 2010 AA
Poland,11 Jan 2012
Portugal,9 Mar 2012 AA
Slovakia,29 May 2008 A
Slovenia,25 Mar 2014
Spain,6 Apr 2009 A
Sweden,30 Mar 2006
Switzerland,15 Mar 2013 A
