Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Afghanistan,,20 Feb 2013 a
Albania,,8 Feb 2005 a
Algeria,25 May 2000,5 Aug 2004
Angola,,27 Feb 2009 a
Antigua and Barbuda,24 May 2000,10 Sep 2003
Argentina,24 May 2000,
Armenia,,30 Apr 2004 a
Austria,24 May 2000,27 Aug 2002
Azerbaijan,,1 Apr 2005 a
Bahamas,24 May 2000,15 Jan 2004
Bahrain,,7 Feb 2012 a
Bangladesh,24 May 2000,5 Feb 2004
Barbados,,6 Sep 2002 a
Belarus,,26 Aug 2002 a
Belgium,24 May 2000,15 Apr 2004
Belize,,12 Feb 2004 a
Benin,24 May 2000,2 Mar 2005
Bhutan,,26 Aug 2002 a
Bolivia (Plurinational State of),24 May 2000,22 Apr 2002
Bosnia and Herzegovina,,1 Oct 2009 a
Botswana,1 Jun 2001,11 Jun 2002
Brazil,,24 Nov 2003 a
Bulgaria,24 May 2000,13 Oct 2000
Burkina Faso,24 May 2000,4 Aug 2003
Burundi,,2 Oct 2008 a
Cabo Verde,,1 Nov 2005 a
Cambodia,,17 Sep 2003 a
Cameroon,9 Feb 2001,20 Feb 2003
Canada,19 Apr 2001,
Central African Republic,24 May 2000,18 Nov 2008
Chad,24 May 2000,1 Nov 2006
Chile,24 May 2000,
China,8 Aug 2000,8 Jun 2005 AA
Colombia,24 May 2000,20 May 2003
Comoros,,25 Mar 2009 a
Congo,21 Nov 2000,13 Jul 2006
Cook Islands,21 May 2001,
Costa Rica,24 May 2000,6 Feb 2007
Croatia,8 Sep 2000,29 Aug 2002
Cuba,24 May 2000,17 Sep 2002
Cyprus,,5 Dec 2003 a
Czech Republic,24 May 2000,8 Oct 2001
Democratic People's Republic of Korea,20 Apr 2001,29 Jul 2003
Democratic Republic of the Congo,,23 Mar 2005 a
Denmark,24 May 2000,27 Aug 2002
Djibouti,,8 Apr 2002 a
Dominica,,13 Jul 2004 a
Dominican Republic,,20 Jun 2006 a
Ecuador,24 May 2000,30 Jan 2003
Egypt,20 Dec 2000,23 Dec 2003
El Salvador,24 May 2000,26 Sep 2003
Eritrea,,10 Mar 2005 a
Estonia,6 Sep 2000,24 Mar 2004
Ethiopia,24 May 2000,9 Oct 2003
European Union,24 May 2000,27 Aug 2002 AA
Fiji,2 May 2001,5 Jun 2001
Finland,24 May 2000,9 Jul 2004
France,24 May 2000,7 Apr 2003 AA
Gabon,,2 May 2007 a
Gambia,24 May 2000,9 Jun 2004
Georgia,,4 Nov 2008 a
Germany,24 May 2000,20 Nov 2003
Ghana,,30 May 2003 a
Greece,24 May 2000,21 May 2004
Grenada,24 May 2000,5 Feb 2004
Guatemala,,28 Oct 2004 a
Guinea,24 May 2000,11 Dec 2007
Guinea-Bissau,,19 May 2010 a
Guyana,,18 Mar 2008 a
Haiti,24 May 2000,
Honduras,24 May 2000,18 Nov 2008
Hungary,24 May 2000,13 Jan 2004
Iceland,1 Jun 2001,
India,23 Jan 2001,17 Jan 2003
Indonesia,24 May 2000,3 Dec 2004
Iran (Islamic Republic of),23 Apr 2001,20 Nov 2003
Iraq,,3 Mar 2014 a
Ireland,24 May 2000,14 Nov 2003
Italy,24 May 2000,24 Mar 2004
Jamaica,4 Jun 2001,25 Sep 2012
Japan,,21 Nov 2003 a
Jordan,11 Oct 2000,11 Nov 2003
Kazakhstan,,8 Sep 2008 a
Kenya,15 May 2000,24 Jan 2002
Kiribati,7 Sep 2000,20 Apr 2004
Kyrgyzstan,,5 Oct 2005 a
Lao People's Democratic Republic,,3 Aug 2004 a
Latvia,,13 Feb 2004 a
Lebanon,,6 Feb 2013 a
Lesotho,,20 Sep 2001 a
Liberia,,15 Feb 2002 a
Libya,,14 Jun 2005 a
Lithuania,24 May 2000,7 Nov 2003
Luxembourg,11 Jul 2000,28 Aug 2002
