Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a)"
Bangladesh,,2 Apr 1979 a
India,20 Jul 1977,1 Nov 1977
Indonesia,7 Jul 1977,31 Aug 1978
Kenya,2 Aug 1977,17 May 1978
Malawi,17 Aug 1977,22 Feb 1978
Mauritius,2 Aug 1977,25 Nov 1977
Mozambique,,29 Mar 1984 a
Myanmar,21 Oct 2013,
Sri Lanka,22 Sep 1977,1 Nov 1977
Uganda,14 Oct 1977,23 Aug 1978
United Republic of Tanzania,27 Jul 1977,28 Jul 1978
