Participant,Signature,"Ratification, Accession(a), Succession(d)"
Argentina,11 Jun 1953,
Bosnia and Herzegovina,,12 Jan 1994 d
Burkina Faso,,23 Mar 1987 a
Chile,22 Apr 1953,
Cuba,,17 Nov 1954 a
Cyprus,20 Jun 1972,13 Nov 1972
Ecuador,31 Mar 1953,
Egypt,27 Jan 1955,4 Aug 1955
El Salvador,11 Mar 1958,28 Oct 1958
Ethiopia,31 Mar 1953,21 Jan 1969
France,2 Apr 1954,16 Nov 1962
Guatemala,1 Apr 1953,9 May 1957
Guinea,19 Mar 1975,
Jamaica,,15 Jun 1967 a
Latvia,,14 Apr 1992 a
Liberia,,16 Sep 2005 a
Montenegro,,23 Oct 2006 d
Paraguay,16 Nov 1953,
Peru,12 Nov 1959,
Serbia,,12 Mar 2001 d
Sierra Leone,,25 Jul 1962 a
Syrian Arab Republic,,4 Aug 1955
Uruguay,,21 Nov 1980 a
