Participant,Application
Angola,9 May 2012
Argentina,27 Sep 2001
Australia,9 May 1986
Belgium,23 Dec 2002
Bosnia and Herzegovina,1 Sep 1993
Cameroon,30 Apr 1992
Croatia,12 Oct 1992
Cuba,21 Jul 1981
Dominica,24 Jun 1988
Ecuador,20 Nov 1998
France,2 Aug 2000
Georgia,18 Jul 2007
Germany,20 Aug 1979
Iceland,17 Jan 2006
Italy,30 Aug 1985
Latvia,19 Dec 2005
Lithuania,10 Feb 1997
Montenegro,23 Oct 2006
Mozambique,6 Oct 2011
Norway,22 Nov 2000
Portugal,8 Nov 2012
Serbia,12 Mar 2001
Seychelles,24 Jul 1985
Slovenia,6 Jul 1992
South Africa,30 Aug 2002
Spain,12 Dec 2003
Sweden,1 Mar 1979
Switzerland,25 Sep 2012
The former Yugoslav Republic of Macedonia,11 Mar 1996
Uganda,11 Aug 1983
Ukraine,25 Feb 1993
United Arab Emirates,11 Dec 2003
Zimbabwe,5 Mar 1991
