Participant,"Approval(AA), Acceptance(A), Ratification"
Albania,12 May 2006 A
Austria,14 Sep 2006
Belarus,23 Mar 2011 A
Bulgaria,25 Jan 2007
Croatia,11 Feb 2009
Czech Republic,18 Apr 2007 A
Estonia,12 Apr 2010
European Union,18 Jan 2008 AA
Finland,19 Feb 2014 A
Germany,8 Aug 2002
Hungary,29 May 2009 AA
Lithuania,22 Mar 2011
Luxembourg,5 May 2003
Malta,28 May 2014 A
Montenegro,9 Jul 2009
Netherlands,14 Apr 2009 A
Norway,24 Feb 2010 AA
Poland,20 Jul 2004 A
Romania,16 Nov 2006 A
Slovakia,29 May 2008 A
Slovenia,25 Mar 2014
Spain,16 Jul 2008 A
Sweden,30 Mar 2006
Switzerland,16 Jun 2010 AA
