Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Ratification"
Angola,11 Oct 2013,
Argentina,10 Oct 2013,
Armenia,10 Oct 2013,
Australia,10 Oct 2013,
Austria,10 Oct 2013,
Bangladesh,10 Oct 2013,
Belgium,10 Oct 2013,
Benin,10 Oct 2013,
Bolivia (Plurinational State of),10 Oct 2013,
Brazil,10 Oct 2013,
Bulgaria,10 Oct 2013,
Burkina Faso,10 Oct 2013,
Cambodia,10 Oct 2013,
Canada,10 Oct 2013,
Central African Republic,10 Oct 2013,
Chile,10 Oct 2013,
China,10 Oct 2013,
Colombia,10 Oct 2013,
Comoros,10 Oct 2013,
Costa Rica,10 Oct 2013,
Côte d'Ivoire,10 Oct 2013,
Czech Republic,10 Oct 2013,
Denmark,10 Oct 2013,
Djibouti,10 Oct 2013,
Dominican Republic,10 Oct 2013,
Ecuador,10 Oct 2013,
Ethiopia,10 Oct 2013,
European Union,10 Oct 2013,
Finland,10 Oct 2013,
France,10 Oct 2013,
Gambia,10 Oct 2013,
Georgia,10 Oct 2013,
Germany,10 Oct 2013,
Greece,10 Oct 2013,
Guatemala,10 Oct 2013,
Guinea,25 Nov 2013,
Guyana,10 Oct 2013,
Hungary,10 Oct 2013,
Indonesia,10 Oct 2013,
Iran (Islamic Republic of),10 Oct 2013,
Iraq,10 Oct 2013,
Ireland,10 Oct 2013,
Israel,10 Oct 2013,
Italy,10 Oct 2013,
Jamaica,10 Oct 2013,
Japan,10 Oct 2013,
Jordan,10 Oct 2013,
Kenya,10 Oct 2013,
Kuwait,10 Oct 2013,
Libya,10 Oct 2013,
Lithuania,10 Oct 2013,
Luxembourg,10 Oct 2013,
Madagascar,10 Oct 2013,
Malawi,10 Oct 2013,
Mali,10 Oct 2013,
Mauritania,11 Oct 2013,
Mauritius,10 Oct 2013,
Mexico,10 Oct 2013,
Mongolia,10 Oct 2013,
Mozambique,10 Oct 2013,
Nepal,10 Oct 2013,
Netherlands,10 Oct 2013,
New Zealand,10 Oct 2013,
Nicaragua,10 Oct 2013,
Niger,10 Oct 2013,
Nigeria,10 Oct 2013,
Norway,10 Oct 2013,
Pakistan,10 Oct 2013,
Panama,10 Oct 2013,
Peru,10 Oct 2013,
Philippines,10 Oct 2013,
Republic of Moldova,10 Oct 2013,
Romania,10 Oct 2013,
Samoa,10 Oct 2013,
Senegal,11 Oct 2013,
Singapore,10 Oct 2013,
Slovakia,10 Oct 2013,
Slovenia,10 Oct 2013,
South Africa,10 Oct 2013,
Spain,10 Oct 2013,
Sweden,10 Oct 2013,
Switzerland,10 Oct 2013,
Togo,10 Oct 2013,
Tunisia,10 Oct 2013,
Uganda,10 Oct 2013,
United Arab Emirates,10 Oct 2013,
United Kingdom of Great Britain and Northern Ireland,10 Oct 2013,
United Republic of Tanzania,10 Oct 2013,
United States of America,6 Nov 2013,6 Nov 2013 A
Uruguay,10 Oct 2013,
Venezuela (Bolivarian Republic of),10 Oct 2013,
Viet Nam,11 Oct 2013,
Zambia,10 Oct 2013,
Zimbabwe,11 Oct 2013,
