Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Ratification"
Australia,21 Dec 2012,24 Jun 2014
Austria,8 Nov 2012,29 Jan 2013
Bulgaria,25 Sep 2012,
Canada,6 Sep 2012,23 Nov 2012
Denmark,2 Oct 2012,6 Nov 2012 AA
European Union,1 Aug 2012,28 Nov 2012 AA
Finland,21 Dec 2012,21 Dec 2012 A
France,2 Nov 2012,
Greece,26 Sep 2012,
Japan,24 Jul 2012,24 Jul 2012 A
Luxembourg,24 Sep 2012,29 Apr 2014
Portugal,6 Sep 2012,
Russian Federation,,3 Apr 2014 a
Slovenia,,8 May 2014 a
Sweden,,12 May 2014 a
Switzerland,10 Oct 2012,10 Oct 2012
United States of America,26 Sep 2012,26 Sep 2012 A
