Participant,"Ratification, Acceptance(A), Approval(AA), Succession(d)"
Albania,27 Oct 2005 A
Andorra,23 Jul 1999 A
Argentina,19 Sep 2011
Austria,17 Oct 1999 A
Bahrain,25 Jul 2005
Belgium,20 Jun 2003
Benin,22 Jan 2014
Bolivia (Plurinational State of),31 Mar 2005
Botswana,17 Jun 2004 A
Brunei Darussalam,16 Dec 2002 A
Bulgaria,15 Feb 2000
Chile,12 Aug 2009 A
China,1 May 2001
Colombia,10 Jun 2014
Cook Islands,29 Jun 2004
Côte d'Ivoire,24 Sep 2013
Cyprus,7 Jul 2000 A
Czech Republic,28 Feb 2000 A
Denmark,10 Sep 1997 AA
Ecuador,6 Mar 1998
Egypt,27 Jan 2004
Estonia,2 Aug 2001
Ethiopia,8 Oct 2003
European Union,30 Sep 1997 AA
Finland,5 Sep 1996 A
France,18 Nov 2003 AA
Gambia,7 Mar 2001
Germany,24 May 2002 A
Ghana,9 Jun 2005
Greece,12 Jul 2010
Guatemala,26 Dec 2013
Hungary,25 May 2004 AA
Indonesia,24 Oct 2005
Ireland,13 Nov 2009
Italy,3 Mar 2009
Jordan,6 Dec 2004 AA
Kenya,9 Sep 2009 A
Kuwait,12 May 2006
Latvia,18 Dec 2003 A
Lesotho,22 Feb 2012 A
Liberia,16 Sep 2005 A
Liechtenstein,20 May 2003 A
Lithuania,7 Nov 2003 A
Luxembourg,14 Aug 1997
Malaysia,26 Oct 2001
Malta,12 Dec 2011 A
Mauritius,9 Nov 2004
Monaco,20 Mar 2013 AA
Montenegro,23 Oct 2006 d
Morocco,10 Sep 2004 AA
Netherlands,22 Jan 2001 A
Nigeria,24 May 2004
Norway,16 Jul 1997 A
Oman,17 May 2004
Panama,7 Oct 1998
Paraguay,28 Aug 1998
Poland,29 Jan 2003 A
Portugal,30 Oct 2000
Qatar,28 Feb 2002
Republic of Moldova,18 Nov 2008 A
Romania,17 Jul 2002 A
Saudi Arabia,10 Jan 2013
Serbia,22 Nov 2002 A
Slovakia,11 Sep 1998 A
Slovenia,1 Dec 2004
Spain,7 Aug 1997 A
Sri Lanka,29 Jan 1999
St. Lucia,22 Jan 2002
Sweden,10 Sep 1997 A
Switzerland,7 Nov 2002 A
Syrian Arab Republic,5 Oct 2004
The former Yugoslav Republic of Macedonia,18 Nov 2004
Trinidad and Tobago,12 Jan 2000
Tunisia,26 Oct 1999
Turkey,27 Aug 2003
United Kingdom of Great Britain and Northern Ireland,13 Oct 1997
United Republic of Tanzania,26 Aug 2002
Uruguay,10 Mar 1999
Zambia,27 Jul 2011
