Participant,Signature,"Definitive signature(s), Acceptance(A)"
Australia,,9 Dec 1948 s
Austria,,10 Nov 1949 A
Canada,,9 Dec 1948 s
Denmark,9 Dec 1948,27 Sep 1949 A
Egypt,,9 Dec 1948 s
Finland,,17 Aug 1949 A
France,9 Dec 1948,11 Jan 1949 A
Greece,9 Dec 1948,9 Oct 1950 A
India,9 Dec 1948,14 Mar 1949 A
Ireland,,28 Feb 1952 A
Italy,,20 May 1949 s
Japan,,2 Dec 1952 A
Myanmar,9 Dec 1948,
Netherlands,9 Dec 1948,13 Apr 1950 A
Norway,9 Dec 1948,22 Mar 1949 A
Pakistan,,3 Mar 1952 s
South Africa,,10 Dec 1948 s
Sweden,,9 Dec 1948 s
Switzerland,9 Dec 1948,23 Jan 1970 A
United Kingdom of Great Britain and Northern Ireland,,9 Dec 1948 s
