Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Ratification"
Liberia,,16 Sep 2005 a
Luxembourg,12 Jun 2002,
Madagascar,24 Sep 2003,
United States of America,30 Dec 2003,
