Participant,"Ratification, Acceptance(A), Accession(a)"
Australia,11 Mar 1996
Bhutan,8 Dec 1998
Brunei Darussalam,4 Feb 1994
China,25 May 1993 A
Indonesia,26 Sep 1994
Iran (Islamic Republic of),29 Nov 2000 A
Lao People's Democratic Republic,3 Jul 2000 A
Malaysia,6 May 1997 A
Maldives,3 Feb 1993 A
Mongolia,7 Jan 1999 A
Nepal,15 Feb 2000
New Zealand,10 Apr 1996 A
Palau,12 Oct 1998 A
Republic of Korea,18 Feb 1993
Singapore,6 Nov 1998 A
Sri Lanka,9 Dec 1998 A
Thailand,14 Jan 1994
Tonga,5 Feb 1998
Viet Nam,7 Jan 1997 A
