Participant,Signature,"Accession(a), Succession(d), Ratification"
Argentina,7 Apr 1975,6 Mar 1981
Barbados,29 Mar 1976,26 Nov 1979
Belarus,13 Oct 1975,24 Aug 1978
Bosnia and Herzegovina,,1 Sep 1993 d
Brazil,14 Mar 1975,
Bulgaria,26 Nov 1975,23 Feb 1976
Cameroon,,23 Mar 1984 a
Chile,28 Nov 1975,22 Jul 1976
Croatia,,12 Oct 1992 d
Cuba,30 Mar 1976,30 Apr 1981
Cyprus,,14 Mar 1978 a
Czech Republic,,22 Feb 1993 d
Democratic People's Republic of Korea,,14 Dec 1982 a
Ecuador,25 Aug 1975,6 Jan 1976
Estonia,,21 Oct 1991 a
Gabon,,5 Nov 2004 a
Guatemala,,14 Sep 1981 a
Holy See,14 Mar 1975,
Hungary,12 Feb 1976,28 Jul 1978
Iran (Islamic Republic of),,30 Dec 1988 a
Jamaica,,16 Nov 1990 a
Liberia,,16 Sep 2005 a
Mongolia,30 Oct 1975,14 Dec 1976
Montenegro,,23 Oct 2006 d
Nigeria,17 Dec 1975,
Panama,12 Mar 1976,16 Mar 1977
Paraguay,,23 Sep 2008 a
Peru,14 Mar 1975,
Poland,10 Nov 1975,1 Nov 1979
Russian Federation,10 Oct 1975,8 Aug 1978
Rwanda,,29 Nov 1977 a
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
The former Yugoslav Republic of Macedonia,,10 Mar 1994 d
Tunisia,,13 Oct 1977 a
Turkey,30 Mar 1976,
Ukraine,17 Oct 1975,25 Aug 1978
United Republic of Tanzania,29 Mar 1976,
Viet Nam,,26 Aug 1980 a
Yemen,30 Mar 1976,
