Participant,Signature,"Ratification, Accession(a), Succession(d)"
Austria,14 Jun 1960,27 Sep 1962
Belarus,,30 Aug 2006 a
Belgium,15 Jun 1960,
France,15 Jun 1960,12 Mar 1962
Germany,14 Jun 1960,29 May 1973
Hungary,,24 Jul 1973 a
Kazakhstan,,14 Jul 2003 a
Montenegro,,23 Oct 2006 d
Netherlands,14 Jun 1960,15 Jun 1966
Poland,,8 May 1972 a
Romania,,4 Aug 1969 a
Russian Federation,,26 Jan 1962 a
Serbia,,12 Mar 2001 d
Switzerland,,26 Apr 1972 a
