Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Ratification"
Angola,19 Nov 2010,
Burundi,22 Sep 2011,
Cameroon,19 Nov 2010,
Central African Republic,19 Nov 2010,24 Oct 2012
Chad,19 Nov 2010,8 Aug 2012
Congo,19 Nov 2010,5 Dec 2012
Democratic Republic of the Congo,19 Nov 2010,
Equatorial Guinea,29 Apr 2011,
Gabon,19 Nov 2010,25 Sep 2012 A
Rwanda,1 Aug 2011,
Sao Tome and Principe,19 Nov 2010,
