Participant,"Signature, Succession to signature(d)","Ratification, Accession(a)"
Algeria,16 May 1983,
Argentina,30 Dec 1983,
Croatia,,11 Apr 1994 a
Egypt,30 Jun 1984,
Estonia,,21 Oct 1991 a
Georgia,,12 Jul 1993 a
Liberia,,16 Sep 2005 a
Montenegro,23 Oct 2006 d,
Niger,23 May 1984,
Peru,10 Nov 1983,
Serbia,12 Mar 2001 d,
Slovenia,,15 Aug 2002 a
The former Yugoslav Republic of Macedonia,,2 Sep 1997 a
Ukraine,,8 Jan 1993 a
