Participant,Signature,"Ratification, Accession(a), Succession(d)"
Austria,,22 Aug 1978 a
Bosnia and Herzegovina,,12 Jan 1994 d
Cyprus,31 Dec 1970,24 Jan 1972
El Salvador,18 Dec 1970,
Estonia,,21 Oct 1991 a
Finland,28 Dec 1970,
Guatemala,,12 Feb 1988 a
Iran (Islamic Republic of),,5 Jun 1975 a
Jamaica,1 Jul 1970,
Liberia,,16 Sep 2005 a
Liechtenstein,15 Dec 1970,3 Aug 1977
Montenegro,,23 Oct 2006 d
Paraguay,,19 Sep 1975 a
Philippines,16 Dec 1969,26 Nov 1976
Serbia,,12 Mar 2001 d
Seychelles,,28 Dec 1977 a
Slovakia,,27 Apr 1999 a
Spain,,31 May 2001 a
Switzerland,31 Jul 1970,3 Nov 1977
United Kingdom of Great Britain and Northern Ireland,17 Dec 1970,
Uruguay,,17 Dec 1980 a
