Participant,Acceptance(A)
Afghanistan,23 Dec 1999 A
Bangladesh,21 Jun 2000 A
Bhutan,12 Oct 2000 A
Brunei Darussalam,5 Jul 2000 A
Cambodia,10 Jul 2001 A
China,10 Apr 2000 A
Fiji,11 Feb 2000 A
Indonesia,23 Apr 2001 A
Iran (Islamic Republic of),30 Nov 1999 A
Micronesia (Federated States of),22 Jun 2001 A
Myanmar,3 Apr 2000 A
Pakistan,17 Aug 2001 A
Republic of Korea,14 Sep 2001 A
Samoa,25 Nov 1999 A
Singapore,10 Jan 2000 A
Sri Lanka,20 Aug 1999 A
Thailand,2 Jul 2001 A
Viet Nam,27 Jan 2000 A
