Participant,Signature,"Ratification, Accession(a), Succession(d)"
Afghanistan,,19 Dec 1977 a
Algeria,,31 Oct 1963 a
Austria,18 May 1956,13 Nov 1957
Azerbaijan,,8 May 2000 a
Belgium,18 May 1956,18 Feb 1963
Bosnia and Herzegovina,,12 Jan 1994 d
Bulgaria,,7 Oct 1959 a
Cambodia,,8 Apr 1959 a
Croatia,,31 Aug 1994 d
Cuba,,16 Sep 1965 a
Cyprus,,2 Feb 1983 d
Denmark,,8 Jan 1959 a
European Union,,1 Feb 1996 a
Finland,,23 May 1967 a
France,18 May 1956,20 May 1959
Germany,18 May 1956,23 Oct 1961
Greece,,12 Sep 1961 a
Hungary,18 May 1956,23 Jul 1957
Ireland,,26 Jul 1967 a
Italy,18 May 1956,29 Mar 1962
Kyrgyzstan,,2 Apr 1998 a
Lithuania,,3 Jan 2003 a
Luxembourg,18 May 1956,28 Jan 1964
Montenegro,,23 Oct 2006 d
Netherlands,18 May 1956,27 Jul 1960
Norway,,11 Jul 1966 a
Poland,18 May 1956,6 May 1959
Portugal,,8 May 1967 a
Republic of Moldova,,14 May 2013 a
Romania,,7 Jan 1966 a
Saudi Arabia,,23 Jan 2003 a
Serbia,,12 Mar 2001 d
Sierra Leone,,13 Mar 1962 d
Singapore,,15 Aug 1966 d
Slovenia,,3 Nov 1992 d
Spain,,17 Nov 1958 a
Sweden,18 May 1956,16 Jan 1958
Switzerland,18 May 1956,7 Jul 1960
The former Yugoslav Republic of Macedonia,,20 Dec 1999 d
Turkey,,10 May 2005 a
United Kingdom of Great Britain and Northern Ireland,18 May 1956,30 Jul 1959
Uzbekistan,,11 Jan 1999 a
