Participant,Signature,"Ratification, Accession(a)"
Austria,,17 Jul 1997 a
Cuba,,12 Jun 1996 a
Czech Republic,,21 Jun 2000 a
Denmark,11 Apr 1995,
European Union,11 Apr 1995,11 Apr 1995
Italy,11 Apr 1995,6 Jan 1998
Liberia,,16 Sep 2005 a
Lithuania,,3 Jan 2003 a
Malta,,12 Jul 1995 a
Poland,,4 Aug 2000 a
Slovakia,,23 Apr 1999 a
Slovenia,,27 Oct 2000 a
Sweden,13 Apr 1995,29 Mar 1996
Switzerland,15 Feb 1995,
Uganda,7 Nov 1994,
United Kingdom of Great Britain and Northern Ireland,13 Apr 1995,6 May 2003
Uzbekistan,,27 Nov 1996 a
