Participant,Signature,"Definitive signature(s), Acceptance(A), Succession(d)"
Afghanistan,,19 Apr 1948 A
Albania,,22 Jul 1946 s
Argentina,22 Jul 1946,22 Oct 1948 A
Australia,22 Jul 1946,8 May 1947 A
Austria,,22 Jul 1946 s
Belarus,,22 Jul 1946 s
Belgium,22 Jul 1946,25 Jun 1948 A
Bolivia (Plurinational State of),,22 Jul 1946 s
Brazil,22 Jul 1946,2 Jun 1948 A
Bulgaria,,22 Jul 1946 s
Canada,22 Jul 1946,29 Aug 1946 A
Chile,22 Jul 1946,
China,,22 Jul 1946 s
Colombia,,22 Jul 1946 s
Costa Rica,,22 Jul 1946 s
Cuba,22 Jul 1946,9 May 1950 A
Denmark,22 Jul 1946,21 Apr 1947 A
Dominican Republic,22 Jul 1946,
Ecuador,22 Jul 1946,
Egypt,22 Jul 1946,16 Dec 1947 A
Ethiopia,22 Jul 1946,11 Apr 1947 A
Finland,,22 Jul 1946 s
France,22 Jul 1946,
Greece,22 Jul 1946,12 Mar 1948 A
Guatemala,22 Jul 1946,26 Aug 1949 A
Haiti,22 Jul 1946,12 Aug 1947 A
Honduras,22 Jul 1946,8 Apr 1949 A
Hungary,19 Feb 1947,17 Jun 1948 A
India,22 Jul 1946,12 Jan 1948 A
Iran (Islamic Republic of),22 Jul 1946,27 Jan 1947 A
Iraq,22 Jul 1946,23 Sep 1947 A
Ireland,22 Jul 1946,20 Oct 1947 A
Italy,22 Jul 1946,11 Apr 1947 A
Japan,,11 Dec 1951 A
Jordan,,22 Jul 1946 s
Lebanon,22 Jul 1946,
Liberia,22 Jul 1946,
Luxembourg,22 Jul 1946,3 Jun 1949 A
Mexico,22 Jul 1946,7 Apr 1948 A
Myanmar,,1 Jul 1948 A
Netherlands,22 Jul 1946,25 Apr 1947 A
New Zealand,22 Jul 1946,10 Dec 1946 A
Nicaragua,22 Jul 1946,
Norway,22 Jul 1946,18 Aug 1947 A
Pakistan,,23 Jun 1948 A
Panama,22 Jul 1946,20 Feb 1951 A
Paraguay,22 Jul 1946,
Peru,22 Jul 1946,
Philippines,,22 Jul 1946 s
Poland,,22 Jul 1946 s
Portugal,22 Jul 1946,11 Aug 1948 A
Russian Federation,,22 Jul 1946 s
Saudi Arabia,,22 Jul 1946 s
Serbia,,12 Mar 2001 d
South Africa,22 Jul 1946,19 Mar 1948 A
Sri Lanka,,23 May 1949 A
Sweden,13 Jan 1947,28 Aug 1947 A
Switzerland,22 Jul 1946,26 Mar 1947 A
Syrian Arab Republic,22 Jul 1946,
Thailand,,22 Jul 1946 s
Turkey,,22 Jul 1946 s
Ukraine,,22 Jul 1946 s
United Kingdom of Great Britain and Northern Ireland,,22 Jul 1946 s
United States of America,22 Jul 1946,7 Aug 1947 A
Uruguay,22 Jul 1946,
Venezuela (Bolivarian Republic of),22 Jul 1946,7 Mar 1949 A
